temperature_mean_c,precipitation_total_mm,wind_speed_mean_ms,pressure_mean_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,et0_total_mm,water_balance_mm,baseline_year
19.3,0.0,4.73,1026.8,13.0,5175.000000414,4.07,-4.07,1991
18.3,0.0,3.99,1020.8,0.0,5547.222222666001,4.68,-4.68,1992
14.0,1.0,4.6,1012.4,74.0,3575.000000286,2.35,-1.35,1993
25.3,0.0,3.08,1011.8,38.0,5330.555555982,4.36,-4.36,1994
15.3,0.5,6.72,1010.0,52.0,3466.6666669440006,2.51,-2.01,1995
18.9,1.8,1.87,1013.3,95.0,3352.7777780460005,2.29,-0.49,1996
21.2,0.3,2.39,1019.0,35.0,4408.3333336860005,3.15,-2.85,1997
15.7,0.2,2.78,1020.4,82.0,1680.5555556900001,1.34,-1.1400000000000001,1998
20.9,0.4,8.22,1017.8,71.0,4161.111111444001,4.34,-3.94,1999
17.4,5.6,4.9,1006.8,70.0,2850.0000002280003,2.27,3.3299999999999996,2000
16.6,0.0,3.41,1014.0,46.0,3511.1111113920006,2.58,-2.58,2001
21.3,0.0,5.19,1021.3,15.0,5333.333333760001,4.68,-4.68,2002
12.9,0.2,5.06,1023.7,23.0,5272.222222644001,3.4,-3.1999999999999997,2003
18.1,0.0,3.27,1023.0,10.0,5666.66666712,3.91,-3.91,2004
18.0,0.0,6.03,1024.7,5.0,5602.777778226001,4.25,-4.25,2005
19.8,0.3,5.22,1017.4,67.0,4638.88888926,3.64,-3.3400000000000003,2006
18.5,0.0,3.76,1012.5,43.0,4325.000000346001,3.81,-3.81,2007
22.5,0.1,5.38,1013.6,28.0,5180.55555597,4.79,-4.69,2008
22.4,0.0,4.31,1011.1,32.0,5486.111111550001,4.93,-4.93,2009
15.1,0.1,3.99,1018.1,43.0,3772.2222225240002,2.4,-2.3,2010
21.2,0.0,2.43,1015.5,16.0,5191.6666670820005,3.76,-3.76,2011
25.3,0.0,3.04,1017.3,4.0,5561.111111556001,4.47,-4.47,2012
18.3,1.8,6.9,1017.1,49.0,3977.7777780960005,3.9,-2.0999999999999996,2013
22.7,1.0,8.79,1012.3,96.0,3252.7777780380006,4.17,-3.17,2014
23.4,0.0,3.04,1012.0,45.0,5302.777778202,4.12,-4.12,2015
21.7,0.0,3.28,1018.2,48.0,4925.000000394,4.15,-4.15,2016
16.3,7.4,4.12,1006.3,94.0,2594.444444652,1.61,5.79,2017
24.0,0.1,4.22,1013.9,81.0,3963.8888892060004,3.81,-3.71,2018
18.7,1.3,7.25,1017.6,71.0,3036.111111354,2.84,-1.5399999999999998,2019
17.3,0.0,2.94,1020.2,94.0,3566.6666669520005,2.49,-2.49,2020
