metric,label,value,baseline_mean,anomaly,z_score,percentile,unit
temperature_mean_c,Temperature,21.191071428571426,23.86154761904762,-2.670476190476194,-1.5072119421107146,10.0,deg C
precipitation_total_mm,Precipitation,1.4000000000000001,11.790000000000001,-10.39,-1.0475467061203207,10.0,mm
wind_speed_mean_ms,Wind,4.849464285714286,4.205660714285714,0.6438035714285721,0.8972885189579997,70.0,m/s
pressure_mean_hpa,Pressure,1014.0303571428572,1012.8729166666668,1.1574404761903452,0.3933514277085393,50.0,hPa
cloud_cover_mean_pct,Cloud,29.023809523809526,46.93571428571429,-17.911904761904765,-1.4756522646188641,20.0,%
shortwave_total_wh_m2,Solar radiation,47465.0,42972.6,4492.4000000000015,1.035529383203688,80.0,Wh/m2
