temperature_mean_c,dew_point_mean_c,precipitation_total_mm,wind_speed_mean_ms,wind_gust_max_ms,pressure_mean_hpa,pressure_range_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,sunshine_total_s,frost_hours,cooling_degree_days_c,heating_degree_days_c,baseline_year
23.039285714285718,16.498809523809523,3.5,3.162380952380952,7.3,1015.4642857142857,4.800000000000068,43.148809523809526,43250.0,359030.44999999995,0.0,35.84583333333333,0.5708333333333334,2016
24.31547619047619,14.99642857142857,18.400000000000002,4.083988095238095,12.0,1009.5505952380952,14.899999999999977,53.029761904761905,40903.0,298043.47,0.0,44.975,0.7666666666666666,2017
23.55654761904762,16.895833333333332,16.5,5.140178571428572,14.7,1009.507142857143,6.2999999999999545,52.595238095238095,39972.0,317293.46,0.0,38.895833333333336,0.0,2018
23.030952380952378,14.994642857142857,4.800000000000001,4.117857142857143,14.1,1017.392261904762,12.899999999999977,56.154761904761905,39999.0,308377.14,0.0,35.533333333333324,0.3166666666666667,2019
21.00059523809524,16.988095238095237,15.1,2.8337499999999998,8.4,1014.7761904761907,9.600000000000023,61.660714285714285,37873.0,282311.79,0.0,22.329166666666666,1.3250000000000002,2020
22.860714285714284,13.87797619047619,1.6,4.908035714285714,11.9,1015.5446428571429,10.800000000000068,52.31547619047619,38333.0,330055.13999999996,0.0,34.65833333333333,0.6333333333333336,2021
27.573809523809523,10.570238095238093,0.0,4.44452380952381,14.0,1015.3345238095237,13.299999999999955,27.797619047619047,50716.0,362629.7,0.0,67.01666666666667,0.0,2022
22.942261904761907,16.38154761904762,34.400000000000006,5.057619047619048,11.7,1010.1261904761906,17.200000000000045,55.67857142857143,44008.0,317946.64,0.0,35.266666666666666,0.6708333333333334,2023
24.00654761904762,15.664880952380951,16.0,4.161547619047619,10.3,1011.4136904761905,7.899999999999977,44.773809523809526,44225.0,346596.3,0.0,42.26666666666667,0.22083333333333335,2024
26.28928571428571,14.078571428571427,7.6000000000000005,4.14672619047619,13.5,1009.6196428571429,9.0,22.202380952380953,50447.0,366062.36,0.0,58.275,0.24999999999999986,2025
