temperature_mean_c,precipitation_total_mm,wind_speed_mean_ms,pressure_mean_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,et0_total_mm,water_balance_mm,baseline_year
17.5,0.6,5.16,1017.0,93.0,3847.22222253,2.9,-2.3,1991
30.3,0.0,6.32,1010.7,21.0,5261.111111532001,7.24,-7.24,1992
14.2,0.0,6.52,1018.0,76.0,3322.2222224880006,2.62,-2.62,1993
20.8,3.0,3.72,1014.0,64.0,4830.555555942001,3.52,-0.52,1994
15.1,3.0,7.12,1003.9,97.0,2716.6666668840003,2.25,0.75,1995
22.1,8.8,3.19,1015.9,79.0,3866.666666976,2.96,5.840000000000001,1996
21.9,9.9,6.33,1004.9,70.0,3797.222222526,3.36,6.540000000000001,1997
14.5,0.0,2.84,1013.7,91.0,4297.222222566001,2.82,-2.82,1998
20.4,0.0,1.45,1016.6,63.0,4575.000000366,3.21,-3.21,1999
21.8,0.2,3.1,1017.4,63.0,4969.444444842001,3.88,-3.6799999999999997,2000
16.4,0.5,6.88,1009.6,30.0,4538.888889252,3.96,-3.46,2001
21.7,0.0,3.1,1014.7,63.0,5158.333333746001,4.21,-4.21,2002
27.3,0.0,8.24,1008.8,47.0,5533.333333776001,7.67,-7.67,2003
20.2,0.0,1.99,1017.2,1.0,5747.222222682001,3.9,-3.9,2004
21.0,1.4,1.86,1023.5,71.0,3566.6666669520005,2.5,-1.1,2005
15.3,10.8,7.17,1004.4,64.0,3127.7777780280003,2.26,8.540000000000001,2006
18.4,6.4,3.81,1014.2,81.0,3327.7777780440006,2.87,3.5300000000000002,2007
21.9,0.3,4.71,1012.4,68.0,4775.0000003820005,4.06,-3.76,2008
23.9,0.3,4.59,1012.1,59.0,4577.777778144001,4.19,-3.8900000000000006,2009
16.5,0.7,3.9,1012.4,47.0,4925.000000394,3.12,-2.42,2010
23.2,0.0,2.14,1014.1,32.0,5344.444444872,4.03,-4.03,2011
20.1,0.0,2.44,1019.0,30.0,5586.111111558001,4.52,-4.52,2012
18.4,11.5,4.77,1014.3,84.0,2502.7777779780004,2.04,9.46,2013
17.2,0.0,2.89,1019.6,41.0,5447.222222658001,3.68,-3.68,2014
26.6,0.0,1.95,1020.9,3.0,5844.444444912,4.79,-4.79,2015
23.3,0.0,2.94,1015.7,0.0,5866.666667136001,4.5,-4.5,2016
19.2,0.0,6.04,1018.0,7.0,5580.555556002,4.53,-4.53,2017
21.2,0.0,3.45,1017.4,20.0,5252.777778198,3.97,-3.97,2018
26.0,0.0,2.98,1018.4,51.0,5269.444444866,4.47,-4.47,2019
24.6,0.0,6.15,1008.9,18.0,5719.444444902,5.47,-5.47,2020
