temperature_mean_c,precipitation_total_mm,wind_speed_mean_ms,pressure_mean_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,et0_total_mm,water_balance_mm,baseline_year
15.8,0.0,4.88,1016.3,52.0,2972.22222246,2.2,-2.2,1991
13.7,0.0,5.5,1021.6,36.0,3005.555555796,2.61,-2.61,1992
13.8,0.0,5.31,1025.7,36.0,4208.333333670001,2.97,-2.97,1993
15.7,0.0,3.85,1015.9,77.0,4275.000000342001,2.66,-2.66,1994
16.6,0.2,3.58,1020.0,86.0,2513.8888890900002,1.99,-1.79,1995
11.8,0.0,5.02,1017.3,69.0,4069.4444447700002,2.32,-2.32,1996
16.2,0.0,3.91,1020.0,30.0,4366.666667016,3.15,-3.15,1997
13.9,0.3,7.89,1022.6,63.0,3436.111111386,2.28,-1.9799999999999998,1998
20.7,0.0,3.76,1012.5,54.0,4222.22222256,3.26,-3.26,1999
13.1,0.9,4.59,1012.0,44.0,3636.1111114020005,2.46,-1.56,2000
13.1,7.4,1.46,1020.4,61.0,3497.2222225020005,1.93,5.470000000000001,2001
16.3,0.2,3.67,1015.6,70.0,3644.444444736,2.6,-2.4,2002
18.5,0.0,1.68,1023.9,0.0,4747.222222602,3.03,-3.03,2003
15.7,0.0,1.16,1020.1,67.0,3038.8888891320003,1.94,-1.94,2004
13.5,9.4,8.24,1018.5,99.0,2666.6666668800003,1.8,7.6000000000000005,2005
17.7,2.2,1.38,1011.4,90.0,2622.2222224320003,1.67,0.5300000000000002,2006
14.2,8.5,6.66,1017.5,75.0,3000.0000002400006,2.24,6.26,2007
9.5,2.7,5.48,1019.2,86.0,1608.3333334620002,1.05,1.6500000000000001,2008
18.8,0.0,5.12,1018.1,24.0,4608.333333702,3.73,-3.73,2009
13.3,10.3,5.1,1014.1,100.0,758.3333333940001,0.63,9.67,2010
24.0,0.0,5.67,1008.6,20.0,4363.888889238001,4.6,-4.6,2011
21.1,3.9,4.27,1011.1,58.0,3802.777778082,3.37,0.5299999999999998,2012
13.1,10.8,5.02,1004.7,88.0,2047.222222386,1.5,9.3,2013
17.2,0.0,4.18,1020.0,66.0,3966.666666984,3.0,-3.0,2014
25.3,0.0,3.71,1014.1,14.0,4600.000000368,4.01,-4.01,2015
17.5,23.0,4.24,1006.6,100.0,1797.222222366,1.21,21.79,2016
15.6,4.4,5.56,1011.5,72.0,3388.88888916,2.42,1.9800000000000004,2017
20.2,0.0,2.77,1021.2,10.0,4150.000000332,3.15,-3.15,2018
11.9,0.0,2.96,1022.8,34.0,4213.888889226,2.86,-2.86,2019
15.5,0.0,4.06,1023.1,53.0,4833.33333372,3.26,-3.26,2020
