time,latitude,longitude,height_km,event_type,peak_current_ka,location_error,distance_km
2026-08-25 13:37:46.303202200+00:00,46.2052,21.7643,0.0,1,4.6,0.377,147.85614559949093
2026-08-25 13:37:46.357890300+00:00,46.1939,21.8336,0.0,1,-6.2,0.292,149.5699670446882
2026-08-25 13:40:37.139211500+00:00,46.2339,21.7406,0.0,1,3.9,0.366,144.5543062271243
2026-08-25 13:41:37.178433200+00:00,46.2074,21.7691,0.0,1,-6.4,0.213,147.6382990025304
2026-08-25 13:41:37.181179700+00:00,46.2036,21.7731,0.0,1,-3.5,0.386,148.08218912348298
2026-08-25 13:41:53.311196700+00:00,46.2156,21.8584,0.0,1,4.3,0.294,147.382973150586
2026-08-25 13:42:45.332347600+00:00,46.1949,21.7848,0.0,1,4.1,0.122,149.11573661987745
2026-08-25 13:42:51.569839400+00:00,46.2376,21.7376,0.0,1,8.2,0.275,144.13016268648775
2026-08-25 13:43:27.364728400+00:00,46.1993,21.7923,0.0,1,6.4,0.339,148.67503860611484
2026-08-25 13:43:27.380920100+00:00,46.2014,21.7967,0.0,1,-6.1,0.333,148.47097812904158
2026-08-25 13:45:09.648367+00:00,46.2007,21.8816,0.0,1,-4.1,0.179,149.2465508920097
2026-08-25 13:45:28.594305700+00:00,46.2542,21.7709,0.0,1,4.0,0.451,142.45882901489807
2026-08-25 13:46:23.607281+00:00,46.2773,21.7202,0.0,1,-20.1,0.285,139.6502182614219
2026-08-25 13:47:48.457786900+00:00,46.2283,22.0195,0.0,1,40.0,0.357,147.9537823025946
2026-08-25 13:48:29.573664700+00:00,46.2167,22.0041,0.0,1,3.9,0.318,148.98864292459186
2026-08-25 13:48:40.260748900+00:00,46.2739,21.7989,0.0,1,6.3,0.28,140.45609251349453
2026-08-25 13:48:40.272844200+00:00,46.2747,21.7919,0.0,1,13.2,0.303,140.31912750820004
2026-08-25 13:49:49.900873300+00:00,46.2834,21.798,0.0,1,4.4,0.289,139.39785267719316
2026-08-25 13:50:33.408569+00:00,46.2115,21.9973,0.0,1,5.1,0.462,149.45825723540682
2026-08-25 13:51:12.025527400+00:00,46.2644,21.785,0.0,1,7.3,0.392,141.41464409474412
2026-08-25 13:51:45.188499400+00:00,46.2119,21.9932,0.0,1,4.2,0.29,149.35621077270713
2026-08-25 13:51:45.189177100+00:00,46.2149,21.9917,0.0,1,4.0,0.293,149.00709662412433
2026-08-25 13:52:53.018659900+00:00,46.221,22.0559,0.0,1,5.8,0.31,149.3283370691919
2026-08-25 13:52:53.802657500+00:00,46.3048,21.9409,0.0,1,9.5,0.306,138.47732728214828
2026-08-25 13:52:53.804124400+00:00,46.2858,21.8997,0.0,1,-4.9,0.658,140.06334630707673
2026-08-25 13:52:53.808622300+00:00,46.2755,21.9103,0.0,1,3.7,0.288,141.31672996842204
2026-08-25 13:52:53.934244200+00:00,46.259,21.8719,0.0,1,-3.9,0.281,142.72173465377497
2026-08-25 13:53:43.899938900+00:00,46.2639,21.827,0.0,1,-3.4,0.217,141.77593070768893
