time,generation_cross_border_electricity_trading_mw,generation_nuclear_mw,generation_hydro_run_of_river_mw,generation_biomass_mw,generation_fossil_brown_coal_lignite_mw,generation_fossil_oil_mw,generation_fossil_gas_mw,generation_geothermal_mw,generation_hydro_water_reservoir_mw,generation_others_mw,generation_other_renewables_mw,generation_waste_mw,wind_onshore_generation_mw,solar_generation_mw,load_mw,residual_load_mw,renewable_share_of_load_pct,renewable_share_of_generation_pct,day_ahead_price_eur_mwh,flow_austria_gw,flow_croatia_gw,flow_romania_gw,flow_serbia_gw,flow_slovakia_gw,flow_slovenia_gw,flow_ukraine_gw,flow_sum_gw,net_import_mw
2026-08-24 22:00:00+00:00,2223.7,1391.1,4.1,201.7,182.8,0.0,534.3,0.2,4.2,50.3,10.5,19.4,27.7,0.1,4727.1,4699.3,5.5,10.6,191.61,0.86,-0.753,-0.435,-0.257,2.335,-0.004,0.461,2.207,4414.0
2026-08-24 22:15:00+00:00,2104.4,1405.8,4.0,201.5,179.5,0.0,546.3,0.2,4.2,101.0,10.1,18.7,28.7,0.1,4647.9,4619.2,5.6,10.3,186.42,0.862,-0.865,-0.463,-0.257,2.423,-0.019,0.461,2.142,4284.0
2026-08-24 22:30:00+00:00,2028.5,1418.4,4.0,201.7,182.2,0.0,538.2,0.2,4.2,92.1,9.9,19.5,26.3,0.1,4566.5,4540.0,5.6,10.3,180.97,0.835,-0.886,-0.488,-0.257,2.462,-0.048,0.461,2.08,4159.000000000001
2026-08-24 22:45:00+00:00,1879.1,1419.5,4.0,201.8,185.9,0.0,588.6,0.2,4.2,92.9,9.8,19.4,23.6,0.0,4514.9,4491.4,5.6,9.9,175.42,0.812,-0.859,-0.531,-0.257,2.408,-0.071,0.461,1.963,3926.0
2026-08-24 23:00:00+00:00,1860.8,1445.5,4.0,201.8,189.9,0.0,557.1,0.2,4.2,51.0,9.9,19.5,26.2,0.0,4422.2,4396.0,5.8,10.2,185.06,0.769,-0.891,-0.509,-0.286,2.431,-0.107,0.436,1.843,3686.0
2026-08-24 23:15:00+00:00,1757.4,1467.5,4.0,202.2,189.6,0.0,572.3,0.2,4.3,72.4,9.9,19.6,32.2,0.0,4358.5,4326.2,6.0,10.2,175.13,0.749,-0.943,-0.546,-0.286,2.472,-0.128,0.436,1.754,3508.0
2026-08-24 23:30:00+00:00,1765.5,1481.3,4.0,201.6,189.1,0.0,535.6,0.2,4.2,54.7,10.0,20.0,35.7,0.1,4272.9,4237.2,6.2,10.5,171.9,0.768,-0.977,-0.557,-0.286,2.5,-0.133,0.436,1.75,3501.0
2026-08-24 23:45:00+00:00,1679.7,1495.3,4.0,201.4,187.7,0.0,520.6,0.2,4.2,48.9,10.0,20.1,40.4,0.1,4215.5,4175.1,6.4,10.7,166.9,0.755,-0.975,-0.561,-0.286,2.467,-0.146,0.436,1.691,3381.0
2026-08-25 00:00:00+00:00,1727.6,1510.3,4.0,201.5,186.7,0.0,513.6,0.2,4.2,54.3,10.0,18.6,39.9,0.1,4187.2,4147.2,6.4,10.6,178.79,0.759,-0.973,-0.571,-0.305,2.439,-0.153,0.37,1.566,3132.0000000000005
2026-08-25 00:15:00+00:00,1628.3,1526.6,4.0,201.7,186.9,0.0,518.0,0.2,4.2,60.1,10.0,19.0,45.9,0.2,4160.3,4114.2,6.6,10.7,183.7,0.793,-1.022,-0.645,-0.305,2.519,-0.119,0.37,1.59,3181.0
