metric,label,value,baseline_mean,anomaly,z_score,percentile,unit
temperature_mean_c,Temperature,19.608333333333334,17.003333333333334,2.6050000000000004,0.8643467902181284,86.66666666666667,deg C
precipitation_total_mm,Precipitation,3.1000000000000005,6.026666666666667,-2.9266666666666667,-0.3674889768999302,53.333333333333336,mm
wind_speed_mean_ms,Wind,4.035277777777777,4.465,-0.4297222222222228,-0.39051401879398756,36.666666666666664,m/s
pressure_mean_hpa,Pressure,1015.2708333333334,1015.2555555555555,0.015277777777896517,0.003232044471176032,56.666666666666664,hPa
cloud_cover_mean_pct,Cloud,32.52777777777778,60.3888888888889,-27.86111111111112,-1.2835796334866432,10.0,%
shortwave_total_wh_m2,Solar radiation,13529.0,10539.074074917202,2989.925925082798,1.1134903591415877,86.66666666666667,Wh/m2
