temperature_mean_c,dew_point_mean_c,precipitation_total_mm,wind_speed_mean_ms,wind_gust_max_ms,pressure_mean_hpa,pressure_range_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,sunshine_total_s,frost_hours,cooling_degree_days_c,heating_degree_days_c,baseline_year
23.751388888888886,19.970833333333335,14.8,2.3874999999999997,8.4,1014.3680555555555,4.100000000000023,73.84722222222223,16845.0,139958.72,0.0,17.254166666666666,0.0,2016
20.887500000000003,13.13888888888889,0.30000000000000004,3.8776388888888897,9.1,1011.2263888888888,10.899999999999977,28.09722222222222,17700.0,142872.02,0.0,9.841666666666667,1.179166666666667,2017
25.591666666666665,17.91944444444444,1.2,4.151111111111111,12.1,1010.0374999999999,3.1000000000000227,58.375,18373.0,144226.83000000002,0.0,22.775000000000002,0.0,2018
23.623611111111114,18.511111111111106,5.699999999999999,3.760833333333333,12.1,1005.1416666666667,7.0,72.30555555555556,15410.0,111290.32,0.0,16.870833333333334,0.0,2019
22.706944444444446,17.991666666666667,6.699999999999999,3.158472222222222,7.9,1016.2208333333333,2.599999999999909,50.541666666666664,17114.0,128914.59,0.0,14.420833333333334,0.2999999999999998,2020
27.816666666666666,16.447222222222223,0.6000000000000001,5.725555555555555,15.5,1013.3444444444444,5.100000000000023,34.083333333333336,19049.0,150614.91,0.0,29.45,0.0,2021
24.916666666666668,13.134722222222223,0.7,5.085416666666667,9.7,1014.2944444444444,4.399999999999977,42.166666666666664,17662.0,138673.79,0.0,20.754166666666666,0.004166666666666726,2022
20.793055555555554,12.404166666666667,3.2,5.2186111111111115,13.2,1012.2625000000002,3.7000000000000455,49.02777777777778,18722.0,139566.09,0.0,10.883333333333335,2.504166666666667,2023
24.01388888888889,11.880555555555556,0.0,4.849027777777778,15.5,1018.1652777777776,6.5,12.98611111111111,21219.0,155618.49,0.0,18.533333333333335,0.4916666666666667,2024
21.15277777777778,16.71805555555555,20.0,5.977361111111112,13.9,1006.0541666666666,7.5,81.19444444444444,14061.0,86579.54999999999,0.0,9.6625,0.20416666666666675,2025
