# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2026-04-07T00:00:00.0
# Date end (ISO 8601): 2026-05-08T00:00:00.0
# Latitude (positive North, ISO 19115): 47.5316
# Longitude (positive East, ISO 19115): 21.6273
# Altitude (m): 124.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2026-04-07T00:00:00.0/2026-04-07T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-07T01:00:00.0/2026-04-07T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-07T02:00:00.0/2026-04-07T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-07T03:00:00.0/2026-04-07T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-07T04:00:00.0/2026-04-07T05:00:00.0;97.6492;47.7954;26.1471;21.6483;246.7409;47.7954;26.1471;21.6483;246.7409;0.6417
2026-04-07T05:00:00.0/2026-04-07T06:00:00.0;332.9229;218.1933;159.9352;58.2581;639.7958;213.6264;152.7146;60.9118;616.5491;1.0000
2026-04-07T06:00:00.0/2026-04-07T07:00:00.0;554.6784;407.1232;329.8953;77.2279;805.3511;405.2043;326.8079;78.3965;796.2493;1.0000
2026-04-07T07:00:00.0/2026-04-07T08:00:00.0;746.7560;577.1016;489.5861;87.5155;890.4954;552.3114;436.0467;116.2647;799.0712;1.0000
2026-04-07T08:00:00.0/2026-04-07T09:00:00.0;896.0808;710.9647;618.0709;92.8938;937.6957;687.6895;566.7637;120.9259;855.9343;1.0000
2026-04-07T09:00:00.0/2026-04-07T10:00:00.0;992.4938;798.5155;706.4520;92.0635;967.9066;798.5155;706.4520;92.0635;967.9066;1.0000
2026-04-07T10:00:00.0/2026-04-07T11:00:00.0;1029.4448;833.0337;747.4680;85.5658;987.4688;833.0337;747.4680;85.5658;987.4688;1.0000
2026-04-07T11:00:00.0/2026-04-07T12:00:00.0;1004.4391;811.4229;734.7125;76.7104;994.7700;811.4229;734.7125;76.7104;994.7700;1.0000
2026-04-07T12:00:00.0/2026-04-07T13:00:00.0;919.2075;734.8596;664.2103;70.6492;982.3885;709.4210;601.5061;107.9149;888.4923;1.0000
2026-04-07T13:00:00.0/2026-04-07T14:00:00.0;779.5873;609.4508;542.4525;66.9983;945.3843;548.1503;390.7289;157.4214;684.3278;1.0000
2026-04-07T14:00:00.0/2026-04-07T15:00:00.0;595.1238;446.1822;385.8348;60.3474;879.1264;446.1822;385.8348;60.3474;879.1264;1.0000
2026-04-07T15:00:00.0/2026-04-07T16:00:00.0;378.4181;259.7292;209.6686;50.0606;743.4849;259.7292;209.6686;50.0606;743.4849;1.0000
2026-04-07T16:00:00.0/2026-04-07T17:00:00.0;144.2673;77.9027;50.8967;27.0060;405.9608;77.9027;50.8967;27.0060;405.9608;0.9083
2026-04-07T17:00:00.0/2026-04-07T18:00:00.0;1.3513;0.3531;0.0514;0.3018;0.0000;0.3531;0.0514;0.3018;0.0000;0.9417
2026-04-07T18:00:00.0/2026-04-07T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-07T19:00:00.0/2026-04-07T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-07T20:00:00.0/2026-04-07T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-07T21:00:00.0/2026-04-07T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-07T22:00:00.0/2026-04-07T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-07T23:00:00.0/2026-04-08T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-08T00:00:00.0/2026-04-08T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-08T01:00:00.0/2026-04-08T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-08T02:00:00.0/2026-04-08T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-08T03:00:00.0/2026-04-08T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-04-08T04:00:00.0/2026-04-08T05:00:00.0;104.6272;50.9699;28.7931;22.1768;264.9003;50.9699;28.7931;22.1768;264.9003;0.6250
2026-04-08T05:00:00.0/2026-04-08T06:00:00.0;340.1474;220.8691;162.7967;58.0723;638.0610;220.8691;162.7967;58.0723;638.0610;1.0000
2026-04-08T06:00:00.0/2026-04-08T07:00:00.0;561.4896;408.0043;328.8686;79.1357;792.9285;398.2088;312.3315;85.8773;751.9981;1.0000
2026-04-08T07:00:00.0/2026-04-08T08:00:00.0;753.1284;576.5147;483.0646;93.4502;870.7948;576.5147;483.0646;93.4502;870.7948;1.0000
2026-04-08T08:00:00.0/2026-04-08T09:00:00.0;902.0187;709.3416;605.9761;103.3655;912.8156;709.3416;605.9761;103.3655;912.8156;1.0000
2026-04-08T09:00:00.0/2026-04-08T10:00:00.0;998.0312;793.4341;677.0813;116.3528;922.1881;793.4341;677.0813;116.3528;922.1881;1.0000
2026-04-08T10:00:00.0/2026-04-08T11:00:00.0;1034.6433;822.0007;688.7679;133.2328;904.8446;822.0007;688.7679;133.2328;904.8446;1.0000
2026-04-08T11:00:00.0/2026-04-08T12:00:00.0;1009.3833;794.2205;647.5867;146.6338;871.8075;793.7679;646.5386;147.2294;870.3513;1.0000
2026-04-08T12:00:00.0/2026-04-08T13:00:00.0;923.9995;712.5759;562.4207;150.1553;826.7823;581.0789;280.5745;300.5044;404.9649;1.0000
2026-04-08T13:00:00.0/2026-04-08T14:00:00.0;784.3395;583.4903;441.8546;141.6358;764.2723;352.8371;64.4968;288.3403;112.8789;1.0000
