# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2024-12-28T00:00:00.0
# Date end (ISO 8601): 2025-01-28T00:00:00.0
# Latitude (positive North, ISO 19115): 47.5316
# Longitude (positive East, ISO 19115): 21.6273
# Altitude (m): 124.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2024-12-28T00:00:00.0/2024-12-28T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T01:00:00.0/2024-12-28T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T02:00:00.0/2024-12-28T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T03:00:00.0/2024-12-28T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T04:00:00.0/2024-12-28T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T05:00:00.0/2024-12-28T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T06:00:00.0/2024-12-28T07:00:00.0;29.4083;10.6958;3.4622;7.2337;62.7222;3.2426;0.0000;3.2426;0.0000;0.7333
2024-12-28T07:00:00.0/2024-12-28T08:00:00.0;191.7315;102.7555;61.1960;41.5596;428.2422;35.8599;0.0004;35.8595;0.0024;0.8417
2024-12-28T08:00:00.0/2024-12-28T09:00:00.0;334.1377;211.0487;149.8850;61.1637;627.6151;80.6369;0.2957;80.3413;1.2672;1.0000
2024-12-28T09:00:00.0/2024-12-28T10:00:00.0;425.8791;282.7633;207.2752;75.4882;685.0916;75.3701;0.0016;75.3685;0.0052;1.0000
2024-12-28T10:00:00.0/2024-12-28T11:00:00.0;460.7065;305.3013;217.3156;87.9857;663.9872;108.6531;0.1816;108.4716;0.5525;1.0000
2024-12-28T11:00:00.0/2024-12-28T12:00:00.0;436.2474;278.6509;185.5615;93.0895;597.7675;93.6408;0.0223;93.6185;0.0702;1.0000
2024-12-28T12:00:00.0/2024-12-28T13:00:00.0;354.1682;209.3492;125.6578;83.6913;496.4435;71.4833;0.0031;71.4802;0.0117;1.0000
2024-12-28T13:00:00.0/2024-12-28T14:00:00.0;220.0610;110.0809;53.5237;56.5572;328.6521;33.4992;0.0001;33.4991;0.0005;1.0000
2024-12-28T14:00:00.0/2024-12-28T15:00:00.0;50.8721;17.7246;4.4851;13.2395;62.9950;6.6628;0.0000;6.6628;0.0000;0.7917
2024-12-28T15:00:00.0/2024-12-28T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T16:00:00.0/2024-12-28T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T17:00:00.0/2024-12-28T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T18:00:00.0/2024-12-28T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T19:00:00.0/2024-12-28T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T20:00:00.0/2024-12-28T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T21:00:00.0/2024-12-28T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T22:00:00.0/2024-12-28T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-28T23:00:00.0/2024-12-29T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T00:00:00.0/2024-12-29T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T01:00:00.0/2024-12-29T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T02:00:00.0/2024-12-29T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T03:00:00.0/2024-12-29T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T04:00:00.0/2024-12-29T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T05:00:00.0/2024-12-29T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T06:00:00.0/2024-12-29T07:00:00.0;29.1928;10.4816;3.4626;7.0189;63.0388;10.4816;3.4626;7.0189;63.0388;0.7333
2024-12-29T07:00:00.0/2024-12-29T08:00:00.0;191.6314;102.0927;61.4770;40.6157;430.4313;93.4188;47.0033;46.4155;350.6102;0.8417
2024-12-29T08:00:00.0/2024-12-29T09:00:00.0;334.4916;210.3199;150.7117;59.6082;630.4364;26.4249;1.7487;24.6762;8.8025;1.0000
2024-12-29T09:00:00.0/2024-12-29T10:00:00.0;426.7279;281.8454;206.0933;75.7521;680.0582;24.2835;0.0000;24.2835;0.0000;1.0000
2024-12-29T10:00:00.0/2024-12-29T11:00:00.0;462.0573;304.1721;211.9069;92.2652;645.6235;30.8650;0.0000;30.8650;0.0000;1.0000
2024-12-29T11:00:00.0/2024-12-29T12:00:00.0;438.0733;277.3015;176.7252;100.5762;566.8242;45.1604;0.0000;45.1604;0.0000;1.0000
2024-12-29T12:00:00.0/2024-12-29T13:00:00.0;356.4103;209.9120;121.3393;88.5727;477.1076;59.9457;0.0218;59.9239;0.0996;1.0000
2024-12-29T13:00:00.0/2024-12-29T14:00:00.0;222.6319;113.5427;56.4188;57.1240;345.2748;44.9361;0.4681;44.4679;2.5246;1.0000
2024-12-29T14:00:00.0/2024-12-29T15:00:00.0;52.8984;19.3451;5.7048;13.6403;79.9314;10.6738;0.0066;10.6673;0.0710;0.7917
2024-12-29T15:00:00.0/2024-12-29T16:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T16:00:00.0/2024-12-29T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T17:00:00.0/2024-12-29T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T18:00:00.0/2024-12-29T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T19:00:00.0/2024-12-29T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T20:00:00.0/2024-12-29T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T21:00:00.0/2024-12-29T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T22:00:00.0/2024-12-29T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-29T23:00:00.0/2024-12-30T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-30T00:00:00.0/2024-12-30T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-12-30T01:00:00.0/2024-12-30T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
