# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2024-08-26T00:00:00.0
# Date end (ISO 8601): 2024-09-26T00:00:00.0
# Latitude (positive North, ISO 19115): 47.5316
# Longitude (positive East, ISO 19115): 21.6273
# Altitude (m): 124.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2024-08-26T00:00:00.0/2024-08-26T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-08-26T01:00:00.0/2024-08-26T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-08-26T02:00:00.0/2024-08-26T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-08-26T03:00:00.0/2024-08-26T04:00:00.0;3.3789;0.8222;0.0600;0.7622;1.7741;0.8222;0.0600;0.7622;1.7741;0.9167
2024-08-26T04:00:00.0/2024-08-26T05:00:00.0;154.7712;71.3695;35.3380;36.0315;256.7501;71.3695;35.3380;36.0315;256.7501;0.7167
2024-08-26T05:00:00.0/2024-08-26T06:00:00.0;383.9846;233.0390;157.3023;75.7368;537.1611;227.8472;149.9095;77.9377;514.0405;1.0000
2024-08-26T06:00:00.0/2024-08-26T07:00:00.0;598.9682;407.3964;307.4511;99.9453;681.8141;407.3964;307.4511;99.9453;681.8141;1.0000
2024-08-26T07:00:00.0/2024-08-26T08:00:00.0;785.0441;565.0713;450.6613;114.4100;764.7952;565.0713;450.6613;114.4100;764.7952;1.0000
2024-08-26T08:00:00.0/2024-08-26T09:00:00.0;929.5031;689.7984;567.0284;122.7700;813.5356;689.7984;567.0284;122.7700;813.5356;1.0000
2024-08-26T09:00:00.0/2024-08-26T10:00:00.0;1022.4713;771.6343;648.8666;122.7678;846.5708;771.6343;648.8666;122.7678;846.5708;1.0000
2024-08-26T10:00:00.0/2024-08-26T11:00:00.0;1057.5851;804.0050;688.9571;115.0480;869.2081;804.0050;688.9571;115.0480;869.2081;1.0000
2024-08-26T11:00:00.0/2024-08-26T12:00:00.0;1032.4255;783.9304;680.0274;103.9029;878.8878;783.9304;680.0274;103.9029;878.8878;1.0000
2024-08-26T12:00:00.0/2024-08-26T13:00:00.0;948.6841;711.4235;611.5768;99.8467;859.7677;711.4235;611.5768;99.8467;859.7677;1.0000
2024-08-26T13:00:00.0/2024-08-26T14:00:00.0;812.0482;592.0515;490.5924;101.4590;805.0258;584.4637;475.4102;109.0535;777.9587;1.0000
2024-08-26T14:00:00.0/2024-08-26T15:00:00.0;631.8123;437.3295;341.5092;95.8203;718.3981;434.6131;336.1288;98.4843;708.3847;1.0000
