# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2024-02-22T00:00:00.0
# Date end (ISO 8601): 2024-03-24T00:00:00.0
# Latitude (positive North, ISO 19115): 47.5316
# Longitude (positive East, ISO 19115): 21.6273
# Altitude (m): 124.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2024-02-22T00:00:00.0/2024-02-22T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T01:00:00.0/2024-02-22T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T02:00:00.0/2024-02-22T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T03:00:00.0/2024-02-22T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T04:00:00.0/2024-02-22T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T05:00:00.0/2024-02-22T06:00:00.0;23.4424;8.0881;2.2442;5.8439;40.9783;6.7258;0.1864;6.5394;3.4038;0.7833
2024-02-22T06:00:00.0/2024-02-22T07:00:00.0;215.7297;117.9768;68.9955;48.9813;415.7847;111.9922;53.2037;58.7884;285.5354;0.9667
2024-02-22T07:00:00.0/2024-02-22T08:00:00.0;417.3896;276.5848;199.6255;76.9594;660.0273;232.1355;101.5361;130.5994;332.5497;1.0000
2024-02-22T08:00:00.0/2024-02-22T09:00:00.0;578.0379;413.6386;323.9459;89.6928;778.6973;413.6386;323.9459;89.6928;778.6973;1.0000
2024-02-22T09:00:00.0/2024-02-22T10:00:00.0;686.7377;502.9336;390.3967;112.5368;792.0270;310.5477;127.9439;182.6038;269.7648;1.0000
2024-02-22T10:00:00.0/2024-02-22T11:00:00.0;736.0929;535.5485;387.1660;148.3825;732.4908;259.2498;13.7673;245.4825;25.8900;1.0000
2024-02-22T11:00:00.0/2024-02-22T12:00:00.0;722.7529;513.4448;339.9762;173.4687;654.4697;372.0318;123.0357;248.9961;239.2270;1.0000
2024-02-22T12:00:00.0/2024-02-22T13:00:00.0;647.6419;443.9956;275.0161;168.9795;590.7111;301.5101;39.8997;261.6104;84.5284;0.8750
2024-02-22T13:00:00.0/2024-02-22T14:00:00.0;515.8961;333.9848;197.0782;136.9067;529.6179;225.2284;24.1315;201.0969;66.9022;1.0000
2024-02-22T14:00:00.0/2024-02-22T15:00:00.0;336.5130;191.5016;98.4108;93.0907;398.0751;147.1975;24.2605;122.9370;97.9041;1.0000
2024-02-22T15:00:00.0/2024-02-22T16:00:00.0;121.7382;50.5891;16.4562;34.1329;138.5416;45.3267;7.6370;37.6897;77.4050;0.7833
2024-02-22T16:00:00.0/2024-02-22T17:00:00.0;0.0693;0.0146;0.0007;0.0138;0.0000;0.0146;0.0007;0.0138;0.0000;0.9833
2024-02-22T17:00:00.0/2024-02-22T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T18:00:00.0/2024-02-22T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T19:00:00.0/2024-02-22T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T20:00:00.0/2024-02-22T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T21:00:00.0/2024-02-22T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T22:00:00.0/2024-02-22T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-22T23:00:00.0/2024-02-23T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T00:00:00.0/2024-02-23T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T01:00:00.0/2024-02-23T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T02:00:00.0/2024-02-23T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T03:00:00.0/2024-02-23T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T04:00:00.0/2024-02-23T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T05:00:00.0/2024-02-23T06:00:00.0;26.7630;9.3235;2.8262;6.4973;48.7257;3.9921;0.0000;3.9921;0.0000;0.7667
2024-02-23T06:00:00.0/2024-02-23T07:00:00.0;222.9892;120.9343;72.2444;48.6899;424.1653;73.6444;1.1935;72.4508;5.9870;0.9667
2024-02-23T07:00:00.0/2024-02-23T08:00:00.0;424.7210;276.8544;199.7013;77.1531;649.1652;31.5984;0.2483;31.3502;1.0097;1.0000
2024-02-23T08:00:00.0/2024-02-23T09:00:00.0;585.3840;411.3311;318.0596;93.2715;754.8033;43.0487;0.0000;43.0487;0.0000;1.0000
2024-02-23T09:00:00.0/2024-02-23T10:00:00.0;694.0406;503.8006;399.2054;104.5952;800.3417;42.3341;0.0000;42.3341;0.0000;1.0000
2024-02-23T10:00:00.0/2024-02-23T11:00:00.0;743.2976;544.7181;431.3038;113.4143;807.5947;59.8522;0.0000;59.8522;0.0000;1.0000
2024-02-23T11:00:00.0/2024-02-23T12:00:00.0;729.8116;531.1582;413.6142;117.5440;788.5895;38.5366;0.0000;38.5366;0.0000;1.0000
2024-02-23T12:00:00.0/2024-02-23T13:00:00.0;654.5171;465.6154;354.2554;111.3601;752.7216;35.0645;0.0000;35.0645;0.0000;1.0000
2024-02-23T13:00:00.0/2024-02-23T14:00:00.0;522.5631;354.4103;259.9715;94.4388;690.1152;29.1748;0.0000;29.1748;0.0000;1.0000
2024-02-23T14:00:00.0/2024-02-23T15:00:00.0;342.9618;208.9914;139.3482;69.6432;556.1382;32.0902;0.0144;32.0757;0.0759;1.0000
2024-02-23T15:00:00.0/2024-02-23T16:00:00.0;127.9741;58.4109;27.8960;30.5149;233.8030;23.8044;0.0043;23.8001;0.0269;0.7833
2024-02-23T16:00:00.0/2024-02-23T17:00:00.0;0.3167;0.0685;0.0027;0.0659;0.0000;0.0427;0.0000;0.0427;0.0000;0.9667
2024-02-23T17:00:00.0/2024-02-23T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T18:00:00.0/2024-02-23T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T19:00:00.0/2024-02-23T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T20:00:00.0/2024-02-23T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T21:00:00.0/2024-02-23T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T22:00:00.0/2024-02-23T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-23T23:00:00.0/2024-02-24T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-24T00:00:00.0/2024-02-24T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-24T01:00:00.0/2024-02-24T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-24T02:00:00.0/2024-02-24T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-24T03:00:00.0/2024-02-24T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-24T04:00:00.0/2024-02-24T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-02-24T05:00:00.0/2024-02-24T06:00:00.0;30.3354;10.5187;3.0635;7.4552;49.0302;7.6154;0.0164;7.5990;0.2628;0.7500
2024-02-24T06:00:00.0/2024-02-24T07:00:00.0;230.3188;124.6845;74.5098;50.1746;423.2109;55.8405;0.0666;55.7738;0.5545;0.9667
2024-02-24T07:00:00.0/2024-02-24T08:00:00.0;432.1081;282.6471;209.0776;73.5695;667.1964;23.9677;0.0000;23.9677;0.0000;1.0000
2024-02-24T08:00:00.0/2024-02-24T09:00:00.0;592.7710;418.8871;338.3228;80.5643;792.2905;35.6430;0.0000;35.6430;0.0000;1.0000
