# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2024-04-24T00:00:00.0
# Date end (ISO 8601): 2024-05-25T00:00:00.0
# Latitude (positive North, ISO 19115): 47.5316
# Longitude (positive East, ISO 19115): 21.6273
# Altitude (m): 124.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2024-04-24T00:00:00.0/2024-04-24T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-04-24T01:00:00.0/2024-04-24T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-04-24T02:00:00.0/2024-04-24T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-04-24T03:00:00.0/2024-04-24T04:00:00.0;22.6706;7.7160;2.7544;4.9616;50.6975;0.9817;0.0000;0.9817;0.0000;0.7833
2024-04-24T04:00:00.0/2024-04-24T05:00:00.0;217.5736;119.2562;79.0705;40.1857;458.0686;13.6574;0.0000;13.6574;0.0000;0.8417
2024-04-24T05:00:00.0/2024-04-24T06:00:00.0;446.6676;297.7154;234.9245;62.7910;701.6000;29.6285;0.0000;29.6285;0.0000;1.0000
2024-04-24T06:00:00.0/2024-04-24T07:00:00.0;660.5508;477.6832;401.3058;76.3773;816.2139;79.0824;0.0501;79.0324;0.0896;1.0000
2024-04-24T07:00:00.0/2024-04-24T08:00:00.0;844.6609;636.6259;549.7007;86.9252;875.7064;201.8089;2.5846;199.2243;4.2325;1.0000
2024-04-24T08:00:00.0/2024-04-24T09:00:00.0;986.4664;760.9760;666.3808;94.5952;909.4725;116.0711;0.0812;115.9900;0.1061;1.0000
2024-04-24T09:00:00.0/2024-04-24T10:00:00.0;1076.3214;833.4122;704.8693;128.5429;882.2656;140.4165;0.1587;140.2578;0.2023;1.0000
2024-04-24T10:00:00.0/2024-04-24T11:00:00.0;1108.1232;847.7885;663.3855;184.4029;806.1764;181.6337;4.9827;176.6510;6.0537;1.0000
2024-04-24T11:00:00.0/2024-04-24T12:00:00.0;1079.7274;808.2935;582.5662;225.7272;726.1760;244.6177;2.6017;242.0159;3.2715;1.0000
2024-04-24T12:00:00.0/2024-04-24T13:00:00.0;993.0954;729.6398;510.2982;219.3416;692.0787;216.7856;1.4494;215.3363;1.8986;1.0000
2024-04-24T13:00:00.0/2024-04-24T14:00:00.0;854.1580;618.5764;444.6093;173.9671;700.9737;208.5022;6.6144;201.8878;11.0720;1.0000
2024-04-24T14:00:00.0/2024-04-24T15:00:00.0;672.4110;472.7645;348.4774;124.2871;697.5707;176.6888;57.6184;119.0704;129.6034;1.0000
2024-04-24T15:00:00.0/2024-04-24T16:00:00.0;460.2671;300.0224;213.4966;86.5257;618.0071;157.8996;34.3927;123.5069;99.8498;1.0000
2024-04-24T16:00:00.0/2024-04-24T17:00:00.0;232.2075;123.3229;71.3312;51.9917;387.6012;77.8646;27.2258;50.6388;121.5805;1.0000
2024-04-24T17:00:00.0/2024-04-24T18:00:00.0;29.8554;10.0446;3.0052;7.0393;48.7219;8.3553;2.0285;6.3267;36.0268;0.9000
2024-04-24T18:00:00.0/2024-04-24T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-04-24T19:00:00.0/2024-04-24T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-04-24T20:00:00.0/2024-04-24T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-04-24T21:00:00.0/2024-04-24T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-04-24T22:00:00.0/2024-04-24T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-04-24T23:00:00.0/2024-04-25T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-04-25T00:00:00.0/2024-04-25T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
