# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2026-08-09T00:00:00.0
# Date end (ISO 8601): 2026-08-19T00:00:00.0
# Latitude (positive North, ISO 19115): 47.5316
# Longitude (positive East, ISO 19115): 21.6273
# Altitude (m): 124.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2026-08-09T00:00:00.0/2026-08-09T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-09T01:00:00.0/2026-08-09T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-09T02:00:00.0/2026-08-09T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-09T03:00:00.0/2026-08-09T04:00:00.0;33.3495;10.8750;2.6226;8.2525;39.9147;10.8750;2.6226;8.2525;39.9147;0.7250
2026-08-09T04:00:00.0/2026-08-09T05:00:00.0;232.9910;119.0023;62.3106;56.6917;330.6498;119.0023;62.3106;56.6917;330.6498;0.9667
2026-08-09T05:00:00.0/2026-08-09T06:00:00.0;455.9232;289.9849;193.9845;96.0004;557.1038;289.9849;193.9845;96.0004;557.1038;1.0000
2026-08-09T06:00:00.0/2026-08-09T07:00:00.0;665.9968;467.7402;345.7388;122.0013;685.4570;467.7402;345.7388;122.0013;685.4570;1.0000
2026-08-09T07:00:00.0/2026-08-09T08:00:00.0;848.8751;627.5130;488.5172;138.9958;761.6122;627.5130;488.5172;138.9958;761.6122;1.0000
2026-08-09T08:00:00.0/2026-08-09T09:00:00.0;992.0721;754.2583;604.4005;149.8579;806.9419;754.2583;604.4005;149.8579;806.9419;1.0000
2026-08-09T09:00:00.0/2026-08-09T10:00:00.0;1085.8052;838.1495;685.7281;152.4214;836.7227;838.1495;685.7281;152.4214;836.7227;1.0000
2026-08-09T10:00:00.0/2026-08-09T11:00:00.0;1123.6624;872.6718;725.4095;147.2623;855.4634;872.6718;725.4095;147.2623;855.4634;1.0000
2026-08-09T11:00:00.0/2026-08-09T12:00:00.0;1103.0408;854.8578;716.1232;138.7346;860.3126;854.8578;716.1232;138.7346;860.3126;1.0000
2026-08-09T12:00:00.0/2026-08-09T13:00:00.0;1025.3246;786.8558;658.1734;128.6824;850.4875;786.8558;658.1734;128.6824;850.4875;1.0000
2026-08-09T13:00:00.0/2026-08-09T14:00:00.0;895.7915;674.0449;556.9432;117.1016;823.3782;674.0449;556.9432;117.1016;823.3782;1.0000
2026-08-09T14:00:00.0/2026-08-09T15:00:00.0;723.2530;525.0895;422.7763;102.3132;773.1974;525.0895;422.7763;102.3132;773.1974;1.0000
2026-08-09T15:00:00.0/2026-08-09T16:00:00.0;519.4532;352.5480;268.4914;84.0566;680.6394;352.5480;268.4914;84.0566;680.6394;1.0000
2026-08-09T16:00:00.0/2026-08-09T17:00:00.0;298.2687;175.1308;116.4378;58.6929;501.7754;175.1308;116.4378;58.6929;501.7754;1.0000
2026-08-09T17:00:00.0/2026-08-09T18:00:00.0;77.4603;32.3426;14.2645;18.0781;148.5764;32.3426;14.2645;18.0781;148.5764;0.7333
2026-08-09T18:00:00.0/2026-08-09T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-09T19:00:00.0/2026-08-09T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-09T20:00:00.0/2026-08-09T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-09T21:00:00.0/2026-08-09T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-09T22:00:00.0/2026-08-09T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-09T23:00:00.0/2026-08-10T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-10T00:00:00.0/2026-08-10T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-10T01:00:00.0/2026-08-10T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-10T02:00:00.0/2026-08-10T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-10T03:00:00.0/2026-08-10T04:00:00.0;30.8681;10.8550;3.4185;7.4365;54.6001;10.8550;3.4185;7.4365;54.6001;0.7417
2026-08-10T04:00:00.0/2026-08-10T05:00:00.0;228.7892;123.9914;74.5141;49.4773;406.2764;123.9914;74.5141;49.4773;406.2764;0.9667
2026-08-10T05:00:00.0/2026-08-10T06:00:00.0;452.0988;297.3748;216.6638;80.7109;629.0069;297.3748;216.6638;80.7109;629.0069;1.0000
2026-08-10T06:00:00.0/2026-08-10T07:00:00.0;662.4911;474.9716;373.6151;101.3565;745.3446;474.9716;373.6151;101.3565;745.3446;1.0000
2026-08-10T07:00:00.0/2026-08-10T08:00:00.0;845.6071;634.2570;518.8958;115.3612;812.5498;634.2570;518.8958;115.3612;812.5498;1.0000
2026-08-10T08:00:00.0/2026-08-10T09:00:00.0;988.9445;760.5759;635.5849;124.9910;851.6127;760.5759;635.5849;124.9910;851.6127;1.0000
2026-08-10T09:00:00.0/2026-08-10T10:00:00.0;1082.7104;845.2208;719.5892;125.6316;880.8295;845.2208;719.5892;125.6316;880.8295;1.0000
2026-08-10T10:00:00.0/2026-08-10T11:00:00.0;1120.4905;881.6046;764.1754;117.4293;904.0286;881.6046;764.1754;117.4293;904.0286;1.0000
2026-08-10T11:00:00.0/2026-08-10T12:00:00.0;1099.6866;865.6874;759.6901;105.9974;915.7722;865.6874;759.6901;105.9974;915.7722;1.0000
2026-08-10T12:00:00.0/2026-08-10T13:00:00.0;1021.6956;797.5715;699.2231;98.3484;906.9968;797.5715;699.2231;98.3484;906.9968;1.0000
2026-08-10T13:00:00.0/2026-08-10T14:00:00.0;891.8134;682.5200;588.1478;94.3721;873.6215;682.5200;588.1478;94.3721;873.6215;1.0000
2026-08-10T14:00:00.0/2026-08-10T15:00:00.0;718.8752;531.0678;443.9350;87.1328;817.0273;531.0678;443.9350;87.1328;817.0273;1.0000
2026-08-10T15:00:00.0/2026-08-10T16:00:00.0;514.6525;354.9430;278.1252;76.8179;711.3052;354.9430;278.1252;76.8179;711.3052;1.0000
2026-08-10T16:00:00.0/2026-08-10T17:00:00.0;293.0504;173.3440;115.8816;57.4624;506.3852;173.3440;115.8816;57.4624;506.3852;1.0000
2026-08-10T17:00:00.0/2026-08-10T18:00:00.0;72.8326;30.0708;12.6679;17.4029;134.8084;30.0708;12.6679;17.4029;134.8084;0.7500
2026-08-10T18:00:00.0/2026-08-10T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-10T19:00:00.0/2026-08-10T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-10T20:00:00.0/2026-08-10T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-10T21:00:00.0/2026-08-10T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-10T22:00:00.0/2026-08-10T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-10T23:00:00.0/2026-08-11T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-11T00:00:00.0/2026-08-11T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-11T01:00:00.0/2026-08-11T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-11T02:00:00.0/2026-08-11T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-11T03:00:00.0/2026-08-11T04:00:00.0;28.5061;9.1072;2.1713;6.9359;35.2209;9.1072;2.1713;6.9359;35.2209;0.7500
2026-08-11T04:00:00.0/2026-08-11T05:00:00.0;224.5481;113.4779;60.9727;52.5052;334.5050;113.4779;60.9727;52.5052;334.5050;0.9667
2026-08-11T05:00:00.0/2026-08-11T06:00:00.0;448.2349;281.2777;192.6195;88.6582;563.1009;281.2777;192.6195;88.6582;563.1009;1.0000
2026-08-11T06:00:00.0/2026-08-11T07:00:00.0;658.9431;454.1101;340.0522;114.0579;682.1803;454.1101;340.0522;114.0579;682.1803;1.0000
2026-08-11T07:00:00.0/2026-08-11T08:00:00.0;842.2917;608.3086;473.9305;134.3781;745.3069;608.3086;473.9305;134.3781;745.3069;1.0000
2026-08-11T08:00:00.0/2026-08-11T09:00:00.0;985.7623;730.1631;579.9783;150.1848;779.9036;730.1631;579.9783;150.1848;779.9036;1.0000
2026-08-11T09:00:00.0/2026-08-11T10:00:00.0;1079.5525;811.7122;655.3836;156.3286;804.8630;811.7122;655.3836;156.3286;804.8630;1.0000
2026-08-11T10:00:00.0/2026-08-11T11:00:00.0;1117.2460;846.5055;693.8339;152.6716;823.4804;846.5055;693.8339;152.6716;823.4804;1.0000
2026-08-11T11:00:00.0/2026-08-11T12:00:00.0;1096.2502;829.7861;684.2598;145.5262;827.6792;829.7861;684.2598;145.5262;827.6792;1.0000
2026-08-11T12:00:00.0/2026-08-11T13:00:00.0;1017.9750;761.6589;623.5189;138.1400;811.9673;761.6589;623.5189;138.1400;811.9673;1.0000
2026-08-11T13:00:00.0/2026-08-11T14:00:00.0;887.7355;647.6245;517.7012;129.9234;772.5929;647.6245;517.7012;129.9234;772.5929;1.0000
2026-08-11T14:00:00.0/2026-08-11T15:00:00.0;714.3911;498.4631;381.6962;116.7668;706.6555;498.4631;381.6962;116.7668;706.6555;1.0000
2026-08-11T15:00:00.0/2026-08-11T16:00:00.0;509.7408;327.4692;230.6827;96.7865;594.9933;327.4692;230.6827;96.7865;594.9933;1.0000
2026-08-11T16:00:00.0/2026-08-11T17:00:00.0;287.7192;154.8498;89.6747;65.1751;396.0844;154.8498;89.6747;65.1751;396.0844;1.0000
2026-08-11T17:00:00.0/2026-08-11T18:00:00.0;68.3043;24.9311;8.0736;16.8575;86.8322;24.9311;8.0736;16.8575;86.8322;0.7583
2026-08-11T18:00:00.0/2026-08-11T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-11T19:00:00.0/2026-08-11T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-08-11T20:00:00.0/2026-08-11T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
