# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2025-03-31T00:00:00.0
# Date end (ISO 8601): 2025-05-01T00:00:00.0
# Latitude (positive North, ISO 19115): 47.5316
# Longitude (positive East, ISO 19115): 21.6273
# Altitude (m): 124.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2025-03-31T00:00:00.0/2025-03-31T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-03-31T01:00:00.0/2025-03-31T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-03-31T02:00:00.0/2025-03-31T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-03-31T03:00:00.0/2025-03-31T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-03-31T04:00:00.0/2025-03-31T05:00:00.0;55.9230;17.8961;2.9576;14.9385;34.1585;2.1026;0.0000;2.1026;0.0000;0.6667
2025-03-31T05:00:00.0/2025-03-31T06:00:00.0;282.3324;136.6422;52.9837;83.6585;240.4816;13.6299;0.0000;13.6299;0.0000;0.9667
2025-03-31T06:00:00.0/2025-03-31T07:00:00.0;506.6769;307.5371;165.0082;142.5289;438.8128;28.0464;0.0000;28.0464;0.0000;1.0000
2025-03-31T07:00:00.0/2025-03-31T08:00:00.0;701.5757;475.8132;297.1581;178.6551;576.0218;43.0660;0.0000;43.0660;0.0000;1.0000
2025-03-31T08:00:00.0/2025-03-31T09:00:00.0;853.7610;613.2903;416.3364;196.9539;664.9384;107.8713;0.0072;107.8641;0.0113;1.0000
2025-03-31T09:00:00.0/2025-03-31T10:00:00.0;952.8782;702.8417;492.9743;209.8674;706.2652;166.5231;0.3208;166.2023;0.4592;1.0000
2025-03-31T10:00:00.0/2025-03-31T11:00:00.0;992.1920;736.7206;515.0342;221.6864;708.7079;149.9709;0.0670;149.9039;0.0921;1.0000
2025-03-31T11:00:00.0/2025-03-31T12:00:00.0;969.0460;714.3875;489.0337;225.3538;688.8342;208.3144;0.4478;207.8666;0.6318;1.0000
2025-03-31T12:00:00.0/2025-03-31T13:00:00.0;885.0436;639.5486;426.3184;213.2302;657.2686;189.1655;0.6471;188.5184;0.9844;1.0000
2025-03-31T13:00:00.0/2025-03-31T14:00:00.0;745.9377;518.7859;333.3219;185.4640;608.8146;159.7987;0.2624;159.5363;0.4702;1.0000
2025-03-31T14:00:00.0/2025-03-31T15:00:00.0;561.2386;361.8536;214.4797;147.3739;518.0962;124.8699;0.2259;124.6440;0.5982;1.0000
