# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2024-10-27T00:00:00.0
# Date end (ISO 8601): 2024-11-27T00:00:00.0
# Latitude (positive North, ISO 19115): 47.5316
# Longitude (positive East, ISO 19115): 21.6273
# Altitude (m): 124.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2024-10-27T00:00:00.0/2024-10-27T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-10-27T01:00:00.0/2024-10-27T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-10-27T02:00:00.0/2024-10-27T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-10-27T03:00:00.0/2024-10-27T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-10-27T04:00:00.0/2024-10-27T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-10-27T05:00:00.0/2024-10-27T06:00:00.0;61.8833;24.0339;8.2118;15.8222;95.2786;18.4130;3.1049;15.3082;36.0251;0.6333
2024-10-27T06:00:00.0/2024-10-27T07:00:00.0;266.8860;148.5683;89.9467;58.6216;448.0107;133.2465;67.3746;65.8718;312.0954;0.8417
2024-10-27T07:00:00.0/2024-10-27T08:00:00.0;445.8463;288.4856;208.3376;80.1480;640.8273;288.4856;208.3376;80.1480;640.8273;1.0000
2024-10-27T08:00:00.0/2024-10-27T09:00:00.0;578.8305;398.9874;308.9189;90.0685;735.2931;398.9874;308.9189;90.0685;735.2931;1.0000
2024-10-27T09:00:00.0/2024-10-27T10:00:00.0;656.7592;465.7379;372.4210;93.3169;782.1593;465.7379;372.4210;93.3169;782.1593;1.0000
2024-10-27T10:00:00.0/2024-10-27T11:00:00.0;674.3066;482.0374;390.1772;91.8601;798.3396;482.0374;390.1772;91.8601;798.3396;1.0000
2024-10-27T11:00:00.0/2024-10-27T12:00:00.0;630.2635;445.9534;359.4778;86.4756;786.6769;445.9534;359.4778;86.4756;786.6769;1.0000
2024-10-27T12:00:00.0/2024-10-27T13:00:00.0;527.6204;360.4297;283.1591;77.2706;738.9897;360.4297;283.1591;77.2706;738.9897;1.0000
2024-10-27T13:00:00.0/2024-10-27T14:00:00.0;373.3621;235.0923;172.4304;62.6619;631.1667;235.0923;172.4304;62.6619;631.1667;1.0000
2024-10-27T14:00:00.0/2024-10-27T15:00:00.0;177.9911;90.9718;54.1604;36.8114;382.0695;90.9718;54.1604;36.8114;382.0695;1.0000
