# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2024-06-01T00:00:00.0
# Date end (ISO 8601): 2024-06-04T00:00:00.0
# Latitude (positive North, ISO 19115): 47.5316
# Longitude (positive East, ISO 19115): 21.6273
# Altitude (m): 124.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2024-06-01T00:00:00.0/2024-06-01T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-06-01T01:00:00.0/2024-06-01T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2024-06-01T02:00:00.0/2024-06-01T03:00:00.0;5.3573;1.3354;0.1566;1.1788;4.8316;0.6332;0.0000;0.6332;0.0002;0.8833
2024-06-01T03:00:00.0/2024-06-01T04:00:00.0;149.1316;68.3388;34.8340;33.5048;267.0605;44.4159;13.3650;31.0509;76.2186;0.7167
2024-06-01T04:00:00.0/2024-06-01T05:00:00.0;362.7957;219.3552;150.3907;68.9644;539.2622;219.3552;150.3907;68.9644;539.2622;1.0000
2024-06-01T05:00:00.0/2024-06-01T06:00:00.0;576.7778;393.4085;300.7458;92.6627;687.1088;392.9929;299.9520;93.0409;685.5533;1.0000
2024-06-01T06:00:00.0/2024-06-01T07:00:00.0;776.5046;562.7560;451.6085;111.1476;768.9594;290.8371;106.9213;183.9159;197.8135;1.0000
2024-06-01T07:00:00.0/2024-06-01T08:00:00.0;948.3740;710.2886;582.8175;127.4711;813.2925;555.4675;268.7736;286.6939;369.8346;1.0000
2024-06-01T08:00:00.0/2024-06-01T09:00:00.0;1080.6827;824.7833;683.8673;140.9160;837.7802;693.1414;320.9606;372.1808;394.6958;1.0000
2024-06-01T09:00:00.0/2024-06-01T10:00:00.0;1164.4241;896.3220;740.6666;155.6554;842.2710;454.7177;56.9695;397.7481;65.1042;1.0000
2024-06-01T10:00:00.0/2024-06-01T11:00:00.0;1193.9015;919.2353;747.8351;171.4002;829.3887;90.0150;6.1355;83.8794;6.8260;1.0000
2024-06-01T11:00:00.0/2024-06-01T12:00:00.0;1167.1172;892.1353;709.8554;182.2799;805.2000;249.4433;102.8239;146.6194;119.0152;1.0000
2024-06-01T12:00:00.0/2024-06-01T13:00:00.0;1085.9083;820.1142;642.3539;177.7603;783.1193;738.9752;499.9795;238.9958;614.6572;1.0000
2024-06-01T13:00:00.0/2024-06-01T14:00:00.0;955.8202;708.7489;550.0629;158.6860;761.5594;708.7489;550.0629;158.6860;761.5594;1.0000
2024-06-01T14:00:00.0/2024-06-01T15:00:00.0;785.7288;563.6409;427.8785;135.7624;719.9537;405.4758;202.0476;203.4282;321.8154;1.0000
