# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.6 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (geostationary satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: VAISALA with MINES ParisTech (France) and DLR (Germany)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2026-02-04T00:00:00.0
# Date end (ISO 8601): 2026-03-07T00:00:00.0
# Latitude (positive North, ISO 19115): 47.5316
# Longitude (positive East, ISO 19115): 21.6273
# Altitude (m): 124.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2026-08-19
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2026-02-04T00:00:00.0/2026-02-04T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-02-04T01:00:00.0/2026-02-04T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-02-04T02:00:00.0/2026-02-04T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-02-04T03:00:00.0/2026-02-04T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-02-04T04:00:00.0/2026-02-04T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-02-04T05:00:00.0/2026-02-04T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2026-02-04T06:00:00.0/2026-02-04T07:00:00.0;103.8901;42.4490;15.0618;27.3872;143.4322;15.3275;0.0000;15.3275;0.0000;0.7333
2026-02-04T07:00:00.0/2026-02-04T08:00:00.0;302.0549;168.9070;93.8095;75.0976;425.0795;18.7344;0.0000;18.7344;0.0000;1.0000
2026-02-04T08:00:00.0/2026-02-04T09:00:00.0;460.0677;292.5279;188.1674;104.3605;570.7393;49.5984;0.0013;49.5971;0.0036;1.0000
2026-02-04T09:00:00.0/2026-02-04T10:00:00.0;567.1142;378.2908;251.9807;126.3101;622.4938;95.3877;1.1116;94.2760;2.6428;1.0000
2026-02-04T10:00:00.0/2026-02-04T11:00:00.0;615.9076;414.0763;271.2906;142.7857;617.2717;170.9062;1.5572;169.3490;3.5447;1.0000
2026-02-04T11:00:00.0/2026-02-04T12:00:00.0;603.1307;397.6542;248.0434;149.6107;575.9048;150.6324;0.6511;149.9813;1.4914;1.0000
2026-02-04T12:00:00.0/2026-02-04T13:00:00.0;529.6635;333.9850;194.6717;139.3132;513.9583;50.5948;0.0032;50.5916;0.0080;1.0000
2026-02-04T13:00:00.0/2026-02-04T14:00:00.0;400.5222;230.9247;120.2756;110.6491;416.4165;41.1747;0.0083;41.1664;0.0258;1.0000
2026-02-04T14:00:00.0/2026-02-04T15:00:00.0;224.5191;104.6745;39.5004;65.1741;228.9244;18.1254;0.0000;18.1254;0.0000;1.0000
