temperature_mean_c,precipitation_total_mm,wind_speed_mean_ms,pressure_mean_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,et0_total_mm,water_balance_mm,baseline_year
18.4,0.0,5.09,1009.4,28.0,4000.0000003200003,3.23,-3.23,1990
17.6,7.2,5.59,1011.3,79.0,2450.000000196,2.21,4.99,1991
17.3,0.0,5.67,1022.2,48.0,3391.6666669380006,3.25,-3.25,1992
15.8,0.0,3.71,1018.7,15.0,4563.888889254,3.26,-3.26,1993
19.0,0.2,3.83,1024.1,56.0,2930.5555557900007,2.24,-2.04,1994
13.0,0.0,4.97,1018.7,30.0,3238.8888891480005,2.17,-2.17,1995
14.0,15.8,7.22,1001.0,94.0,752.777777838,0.59,15.21,1996
12.8,0.0,3.2,1023.1,0.0,4575.000000366,2.91,-2.91,1997
13.8,0.0,5.97,1021.0,14.0,4477.777778136001,2.87,-2.87,1998
18.6,0.0,2.02,1017.0,61.0,3941.666666982,2.75,-2.75,1999
12.6,5.2,6.75,1022.0,100.0,466.666666704,0.56,4.640000000000001,2000
17.0,8.3,4.3,1012.6,88.0,2905.5555557880007,1.82,6.48,2001
14.0,13.3,4.03,1002.5,100.0,1447.2222223380002,1.03,12.270000000000001,2002
20.9,0.0,6.44,1014.0,0.0,4547.2222225860005,4.24,-4.24,2003
11.9,11.0,7.3,1006.3,94.0,1388.888889,1.39,9.61,2004
15.4,0.0,4.94,1019.7,76.0,4372.222222572001,2.92,-2.92,2005
17.1,0.0,6.92,1018.5,55.0,3686.1111114060004,3.2,-3.2,2006
12.9,0.0,1.74,1026.0,0.0,4675.000000374,2.74,-2.74,2007
12.0,0.3,1.96,1014.3,36.0,3494.4444447240003,2.0,-1.7,2008
19.3,0.0,3.3,1024.0,3.0,4161.111111444001,3.37,-3.37,2009
15.0,0.0,3.63,1021.7,0.0,4638.88888926,2.8,-2.8,2010
18.5,0.4,3.73,1015.3,47.0,3158.333333586,2.72,-2.3200000000000003,2011
14.3,0.1,3.13,1017.6,52.0,2813.8888891140004,1.89,-1.7899999999999998,2012
14.6,0.1,6.59,1014.9,82.0,1997.2222223820004,1.83,-1.73,2013
12.9,1.9,4.64,1010.9,64.0,3425.0000002740003,2.16,-0.26000000000000023,2014
21.0,0.0,3.38,1009.2,17.0,3961.111111428,3.19,-3.19,2015
12.8,0.0,3.43,1024.4,42.0,3861.1111114200003,2.49,-2.49,2016
12.1,12.2,4.29,1017.3,94.0,911.111111184,0.63,11.569999999999999,2017
14.8,0.0,5.02,1019.7,81.0,2025.000000162,1.98,-1.98,2018
13.4,2.4,4.0,1014.7,94.0,1661.1111112440003,1.54,0.8599999999999999,2019
19.5,0.4,4.53,1011.8,43.0,3002.7777780180004,2.79,-2.39,2020
11.9,0.1,5.71,1020.8,75.0,2730.5555557740004,2.17,-2.07,2021
10.6,0.2,3.44,1020.0,47.0,3883.3333336440005,2.05,-1.8499999999999999,2022
22.7,1.2,5.14,1012.6,60.0,3622.222222512,3.15,-1.95,2023
16.7,0.0,3.16,1015.8,0.0,4608.333333702,3.25,-3.25,2024
20.5,0.0,4.8,1015.8,40.0,4477.777778136001,3.61,-3.61,2025
