time,cape,convective_inhibition,freezing_level_height,boundary_layer_height,total_column_integrated_water_vapour,wet_bulb_temperature_2m
2026-08-05 00:00:00+00:00,0.0,0.0,4290.0,100.0,26.8,17.3
2026-08-05 01:00:00+00:00,0.0,0.0,4260.0,100.0,26.3,17.1
2026-08-05 02:00:00+00:00,0.0,0.0,4260.0,130.0,25.8,17.0
2026-08-05 03:00:00+00:00,0.0,0.0,4280.0,105.0,25.7,16.6
2026-08-05 04:00:00+00:00,0.0,0.0,4260.0,85.0,25.5,16.4
2026-08-05 05:00:00+00:00,0.0,0.0,4270.0,120.0,25.4,17.0
2026-08-05 06:00:00+00:00,0.0,0.0,4290.0,265.0,26.3,18.2
2026-08-05 07:00:00+00:00,0.0,0.0,4310.0,380.0,26.9,19.1
2026-08-05 08:00:00+00:00,0.0,0.0,4330.0,605.0,27.3,19.6
2026-08-05 09:00:00+00:00,0.0,0.0,4300.0,935.0,27.5,19.9
2026-08-05 10:00:00+00:00,0.0,0.0,4280.0,1895.0,27.3,20.2
2026-08-05 11:00:00+00:00,0.0,0.0,4260.0,2345.0,27.2,20.6
2026-08-05 12:00:00+00:00,0.0,0.0,4320.0,2905.0,27.5,20.5
2026-08-05 13:00:00+00:00,0.0,0.0,4190.0,2910.0,27.1,20.4
2026-08-05 14:00:00+00:00,0.0,0.0,4170.0,3030.0,27.0,20.4
2026-08-05 15:00:00+00:00,0.0,0.0,4310.0,2970.0,27.1,20.0
2026-08-05 16:00:00+00:00,0.0,0.0,4290.0,2845.0,27.1,19.8
2026-08-05 17:00:00+00:00,0.0,0.0,4460.0,175.0,27.1,19.7
2026-08-05 18:00:00+00:00,0.0,0.0,4430.0,200.0,28.2,19.6
2026-08-05 19:00:00+00:00,0.0,0.0,4380.0,245.0,28.4,19.2
2026-08-05 20:00:00+00:00,0.0,0.0,4480.0,245.0,26.9,19.0
2026-08-05 21:00:00+00:00,0.0,0.0,4370.0,165.0,26.3,19.1
2026-08-05 22:00:00+00:00,0.0,0.0,4360.0,115.0,26.1,19.0
2026-08-05 23:00:00+00:00,0.0,0.0,4280.0,90.0,26.3,18.6
2026-08-06 00:00:00+00:00,0.0,0.0,4250.0,90.0,26.9,18.1
2026-08-06 01:00:00+00:00,0.0,0.0,4250.0,95.0,27.0,17.6
2026-08-06 02:00:00+00:00,0.0,0.0,4270.0,80.0,27.2,17.1
2026-08-06 03:00:00+00:00,0.0,0.0,4260.0,105.0,28.0,16.8
2026-08-06 04:00:00+00:00,0.0,0.0,4270.0,90.0,28.6,16.9
2026-08-06 05:00:00+00:00,0.0,0.0,4250.0,135.0,29.0,17.2
2026-08-06 06:00:00+00:00,0.0,0.0,4230.0,180.0,28.1,17.7
2026-08-06 07:00:00+00:00,0.0,0.0,4230.0,305.0,28.3,18.4
2026-08-06 08:00:00+00:00,0.0,0.0,4240.0,455.0,28.6,18.9
2026-08-06 09:00:00+00:00,0.0,0.0,4250.0,715.0,29.0,19.4
2026-08-06 10:00:00+00:00,0.0,0.0,4270.0,1220.0,29.3,19.9
2026-08-06 11:00:00+00:00,0.0,0.0,4300.0,1850.0,29.3,20.0
2026-08-06 12:00:00+00:00,0.0,0.0,4160.0,3385.0,29.4,20.1
2026-08-06 13:00:00+00:00,0.0,0.0,4170.0,3490.0,29.1,19.7
2026-08-06 14:00:00+00:00,0.0,0.0,4140.0,3620.0,29.3,19.7
2026-08-06 15:00:00+00:00,0.0,0.0,4220.0,3565.0,29.9,19.5
2026-08-06 16:00:00+00:00,0.0,0.0,4220.0,1095.0,32.0,19.3
2026-08-06 17:00:00+00:00,0.0,0.0,4310.0,190.0,31.1,19.9
2026-08-06 18:00:00+00:00,0.0,0.0,4310.0,105.0,30.8,19.9
2026-08-06 19:00:00+00:00,0.0,0.0,4240.0,340.0,31.8,19.4
2026-08-06 20:00:00+00:00,0.0,0.0,4160.0,420.0,32.0,19.0
2026-08-06 21:00:00+00:00,0.0,0.0,4220.0,405.0,32.6,19.0
2026-08-06 22:00:00+00:00,10.0,0.0,4230.0,185.0,32.5,19.1
2026-08-06 23:00:00+00:00,80.0,0.0,4140.0,95.0,33.9,19.2
2026-08-07 00:00:00+00:00,10.0,0.0,4090.0,170.0,32.6,19.1
2026-08-07 01:00:00+00:00,0.0,0.0,4080.0,130.0,32.5,19.1
2026-08-07 02:00:00+00:00,0.0,0.0,4070.0,70.0,33.4,19.0
2026-08-07 03:00:00+00:00,30.0,0.0,4010.0,75.0,33.4,18.4
2026-08-07 04:00:00+00:00,0.0,0.0,4000.0,80.0,34.5,18.2
2026-08-07 05:00:00+00:00,0.0,0.0,4030.0,115.0,35.6,18.4
2026-08-07 06:00:00+00:00,40.0,0.0,3960.0,170.0,34.5,19.1
2026-08-07 07:00:00+00:00,50.0,0.0,4080.0,575.0,34.8,19.4
2026-08-07 08:00:00+00:00,10.0,0.0,3980.0,855.0,36.3,20.1
2026-08-07 09:00:00+00:00,0.0,0.0,4060.0,1000.0,35.7,20.5
2026-08-07 10:00:00+00:00,0.0,0.0,4050.0,1370.0,35.1,21.2
2026-08-07 11:00:00+00:00,0.0,0.0,4020.0,2185.0,36.1,21.4
2026-08-07 12:00:00+00:00,0.0,0.0,4070.0,2450.0,35.2,21.8
2026-08-07 13:00:00+00:00,30.0,0.0,4130.0,3045.0,37.2,21.2
2026-08-07 14:00:00+00:00,0.0,0.0,4090.0,2535.0,38.1,21.2
2026-08-07 15:00:00+00:00,0.0,0.0,4110.0,645.0,37.2,20.9
2026-08-07 16:00:00+00:00,620.0,25.0,4210.0,1240.0,36.9,20.6
2026-08-07 17:00:00+00:00,660.0,404.0,4040.0,590.0,37.5,19.1
2026-08-07 18:00:00+00:00,180.0,661.0,4020.0,490.0,37.8,19.1
2026-08-07 19:00:00+00:00,140.0,433.0,4000.0,420.0,37.4,19.0
2026-08-07 20:00:00+00:00,10.0,0.0,4070.0,440.0,38.1,19.8
