time,pressure_hpa,temperature_c,relative_humidity_pct,dew_point_c,wind_speed_ms,wind_direction_deg,geopotential_height_m
2026-08-07 12:00:00+00:00,1000.0,32.9,29.0,12.521171513089476,2.4,92.0,105.0
2026-08-07 12:00:00+00:00,950.0,28.4,42.0,14.256076588603062,1.83,40.0,564.0
2026-08-07 12:00:00+00:00,925.0,26.3,41.0,12.002014652359044,3.14,94.0,800.0
2026-08-07 12:00:00+00:00,850.0,18.9,57.0,10.195424418038034,1.9,90.0,1536.0
2026-08-07 12:00:00+00:00,800.0,15.7,57.0,7.203355490518881,1.69,351.0,2054.0
2026-08-07 12:00:00+00:00,700.0,6.2,71.0,1.3302410450325168,7.11,309.0,3167.0
2026-08-07 12:00:00+00:00,600.0,-1.5,63.0,-7.633053611535877,4.98,317.0,4412.0
2026-08-07 12:00:00+00:00,500.0,-9.3,56.0,-16.468423398577304,2.87,324.0,5844.0
2026-08-07 12:00:00+00:00,400.0,-20.7,65.0,-25.562761840529753,5.19,315.0,7533.33
2026-08-07 12:00:00+00:00,300.0,-36.5,44.0,-44.364558489959514,6.62,311.0,9593.55
2026-08-07 12:00:00+00:00,250.0,-45.5,36.0,-54.38816035906189,6.62,319.0,10832.38
2026-08-07 12:00:00+00:00,200.0,-50.0,13.0,-66.25417883813198,13.37,266.0,12302.33
