time,generation_cross_border_electricity_trading_mw,generation_nuclear_mw,generation_hydro_run_of_river_mw,generation_biomass_mw,generation_fossil_brown_coal_lignite_mw,generation_fossil_oil_mw,generation_fossil_gas_mw,generation_geothermal_mw,generation_hydro_water_reservoir_mw,generation_others_mw,generation_other_renewables_mw,generation_waste_mw,wind_onshore_generation_mw,solar_generation_mw,load_mw,residual_load_mw,renewable_share_of_load_pct,renewable_share_of_generation_pct,day_ahead_price_eur_mwh,flow_austria_gw,flow_croatia_gw,flow_romania_gw,flow_serbia_gw,flow_slovakia_gw,flow_slovenia_gw,flow_ukraine_gw,flow_sum_gw,net_import_mw
2026-08-04 22:00:00+00:00,3145.3,170.9,5.2,120.6,296.6,0.0,1367.0,0.2,4.5,56.0,14.4,9.4,89.0,0.2,5211.2,5122.0,4.6,11.2,210.7,1.079,-0.329,-0.269,0.04,2.357,0.037,0.154,3.069,6138.0
2026-08-04 22:15:00+00:00,3077.6,170.9,5.1,120.4,272.0,0.0,1353.3,0.2,4.5,31.1,14.3,8.9,78.1,0.2,5131.8,5053.5,4.4,11.0,207.73,1.04,-0.328,-0.271,0.04,2.378,0.004,0.154,3.017,6034.0
2026-08-04 22:30:00+00:00,3038.8,170.9,5.1,121.0,265.5,0.0,1327.7,0.2,4.5,27.5,14.4,9.1,72.0,0.2,5041.4,4969.3,4.4,11.0,175.75,1.045,-0.356,-0.277,0.04,2.407,-0.005,0.154,3.007,6015.000000000001
2026-08-04 22:45:00+00:00,2933.7,170.8,5.1,127.7,259.4,0.0,1298.0,0.2,4.5,29.1,14.4,9.4,65.3,0.2,4927.2,4861.7,4.5,11.2,172.7,0.984,-0.344,-0.283,0.04,2.398,-0.023,0.154,2.926,5852.0
2026-08-04 23:00:00+00:00,2847.2,170.9,5.1,130.4,233.5,0.0,1284.7,0.2,4.5,56.6,14.4,9.4,57.8,0.7,4833.6,4775.1,4.5,11.1,180.79,0.972,-0.406,-0.272,-0.022,2.44,-0.04,0.176,2.848,5696.0
2026-08-04 23:15:00+00:00,2777.1,170.8,5.1,131.1,226.1,0.0,1251.6,0.2,4.5,50.2,14.4,9.4,50.1,0.1,4737.6,4687.4,4.4,11.0,174.65,0.955,-0.44,-0.282,-0.022,2.458,-0.045,0.176,2.799,5599.0
2026-08-04 23:30:00+00:00,2825.1,170.7,5.1,130.6,222.1,0.0,1159.1,0.2,4.5,58.9,14.4,9.1,45.6,0.1,4642.1,4596.4,4.4,11.3,175.01,0.911,-0.436,-0.26,-0.022,2.463,-0.06,0.176,2.772,5544.000000000001
2026-08-04 23:45:00+00:00,2843.2,170.8,5.1,130.7,224.9,0.0,1067.6,0.2,4.5,29.5,14.0,9.2,47.8,0.1,4567.2,4519.2,4.5,12.1,175.62,0.994,-0.439,-0.282,-0.022,2.461,-0.058,0.176,2.83,5660.0
2026-08-05 00:00:00+00:00,2728.8,170.8,5.1,130.4,226.6,0.0,1091.1,0.2,4.5,40.4,14.0,9.6,48.4,5.5,4531.3,4477.4,4.7,12.2,180.46,0.942,-0.414,-0.283,-0.001,2.435,-0.072,0.165,2.772,5544.000000000001
2026-08-05 00:15:00+00:00,2798.8,170.7,5.1,130.2,223.7,0.0,1032.3,0.2,4.5,63.1,14.4,9.7,50.0,4.0,4497.3,4443.3,4.7,12.5,175.88,0.934,-0.414,-0.279,-0.001,2.438,-0.074,0.165,2.769,5538.0
2026-08-05 00:30:00+00:00,2834.1,170.7,5.1,130.5,224.6,0.0,990.1,0.2,4.5,28.8,14.4,9.5,54.7,0.1,4467.7,4412.8,4.8,13.1,172.42,0.969,-0.416,-0.282,-0.001,2.448,-0.065,0.165,2.818,5636.0
2026-08-05 00:45:00+00:00,2798.2,170.7,5.1,130.6,222.4,0.0,988.4,0.2,4.5,20.5,14.4,9.2,57.8,0.1,4431.5,4373.7,4.9,13.4,170.49,0.938,-0.43,-0.27,-0.001,2.437,-0.074,0.165,2.765,5530.0
