time,poa_irradiance_w_m2,pv_power_kw_per_kwp,pv_cell_temperature_c,air_density_kg_m3,hub_wind_speed_ms,density_corrected_wind_ms,wind_capacity_factor,wind_power_density_w_m2
2026-09-13 22:00:00+00:00,0.0,0.0,13.0,1.2372190716782066,1.94,1.9464290110951439,0.0,4.516705767223055
2026-09-13 23:00:00+00:00,0.0,0.0,13.2,1.2362332964835225,2.46,2.4674965630085812,0.0,9.201862982909612
2026-09-14 00:00:00+00:00,0.0,0.0,13.2,1.2355893864434853,1.3,1.303735163249904,0.0,1.3572949410081685
2026-09-14 01:00:00+00:00,0.0,0.0,12.3,1.2393735037232159,1.57,1.5761166560468387,0.0,2.3981214232219736
2026-09-14 02:00:00+00:00,0.0,0.0,11.6,1.2425355347436249,1.93,1.9391655420447191,0.0,4.466329391898699
2026-09-14 03:00:00+00:00,0.0,0.0,10.9,1.2457771826177653,2.12,2.1319186169793958,0.0,5.934962227730722
2026-09-14 04:00:00+00:00,0.0,0.0,10.6,1.2472606204196899,2.49,2.5049922567349374,0.0,9.627760012966831
2026-09-14 05:00:00+00:00,25.843400495011792,0.026092414078348582,12.074093601518385,1.2439029208601686,3.04,3.055556954620311,0.0008982883200042528,17.473392914800428
2026-09-14 06:00:00+00:00,119.98674771071609,0.11885182299155446,17.046549629471638,1.2331662260301879,3.76,3.7683366072846574,0.015585972595994034,32.77594037379384
2026-09-14 07:00:00+00:00,367.38569694537836,0.3501963413490476,26.767788862667665,1.2213777408800577,3.86,3.8561916396873808,0.017837974580015934,35.12221679087185
2026-09-14 08:00:00+00:00,536.6396980909867,0.49812614124222243,33.27291617953538,1.2111586455288088,2.76,2.7495654608969917,0.0,12.732048495488748
2026-09-14 09:00:00+00:00,668.503423968996,0.6081561490456703,38.09171880224342,1.204991226771045,2.71,2.6951641608842984,0.0,11.99117557285711
2026-09-14 10:00:00+00:00,814.9644456028439,0.7236487738133214,43.76267114391011,1.201379225694509,2.33,2.3149268067668514,0.0,7.598325345304453
2026-09-14 11:00:00+00:00,894.6079569735815,0.7842838836492636,46.69821360491159,1.1982211622718066,2.28,2.263263637640922,0.0,7.1008694945472834
2026-09-14 12:00:00+00:00,861.5136414964876,0.7459878025103509,49.50425907791119,1.194230061974018,1.51,1.4972497555123003,0.0,2.0558377930517535
2026-09-14 13:00:00+00:00,541.002128798232,0.4903724153356409,38.95444115781606,1.1936323925164884,1.74,1.7250197989932816,0.0,3.1440420454771405
2026-09-14 14:00:00+00:00,379.91709317619166,0.3516880862923153,33.933091499123975,1.194377239919712,1.95,1.9336138793727098,0.0,4.4280789684248365
2026-09-14 15:00:00+00:00,242.83355625646755,0.22837019388937121,30.093959930809696,1.1955411141352512,2.06,2.0433528258981655,0.0,5.225600220102683
2026-09-14 16:00:00+00:00,92.45481877103097,0.08911729289163194,23.98411282736181,1.2020481987920903,3.03,3.0109570435799697,0.00017455732120102115,16.719364727059805
2026-09-14 17:00:00+00:00,13.041505834731659,0.012794713180393614,19.5113624440035,1.2105140878808953,2.28,2.2709771621273305,0.0,7.17371953526165
2026-09-14 18:00:00+00:00,0.0,0.0,17.3,1.2191226039082368,3.99,3.9836085944555446,0.021291259416791226,38.72006476412665
2026-09-14 19:00:00+00:00,0.0,0.0,16.8,1.2214281304095627,3.48,3.4766143654239072,0.00883086858495322,25.738050821090823
2026-09-14 20:00:00+00:00,0.0,0.0,16.3,1.223649880219505,3.23,3.2288129278984297,0.003916006372316356,20.61744018907745
2026-09-14 21:00:00+00:00,0.0,0.0,15.5,1.2271478736812156,3.86,3.862254680687198,0.0179972348033375,35.28814404529223
