time,product,source_file
2026-09-20T19:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260920_1940.png
2026-09-20T22:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260920_2240.png
2026-09-21T01:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260921_0140.png
2026-09-21T04:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260921_0440.png
2026-09-21T07:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260921_0740.png
2026-09-21T10:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260921_1040.png
2026-09-21T13:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260921_1340.png
2026-09-21T16:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260921_1640.png
2026-09-21T19:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260921_1940.png
2026-09-21T22:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260921_2240.png
2026-09-22T01:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260922_0140.png
2026-09-22T04:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260922_0440.png
2026-09-22T07:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260922_0740.png
2026-09-22T10:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260922_1040.png
2026-09-22T13:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260922_1340.png
2026-09-22T16:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260922_1640.png
2026-09-22T19:40:00+00:00,InfraCloud,satellite_MSG-InfraCloud-20260922_1940.png
