time,precipitation_mm,et0_mm,water_balance_mm,vpd_mean_kpa,vpd_max_kpa,soil_temperature_surface_c,soil_moisture_surface,soil_moisture_root_zone
2026-05-13 00:00:00+02:00,6.2,2.61,3.5900000000000003,0.4191666666666667,1.02,11.870833333333332,0.3229166666666667,0.2604166666666667
2026-05-14 00:00:00+02:00,0.0,3.64,-3.64,0.615,1.25,12.283333333333333,0.2597916666666667,0.26875
2026-05-15 00:00:00+02:00,1.4,4.43,-3.0300000000000002,0.7291666666666666,1.59,14.575000000000001,0.19979166666666667,0.2642083333333333
2026-05-16 00:00:00+02:00,4.8,2.98,1.8199999999999998,0.3358333333333334,0.91,15.429166666666667,0.23054166666666664,0.27037500000000003
2026-05-17 00:00:00+02:00,1.0,4.1,-3.1,0.5,1.06,16.470833333333335,0.24658333333333335,0.2846666666666667
2026-05-18 00:00:00+02:00,1.0,2.19,-1.19,0.27999999999999997,0.48,14.533333333333333,0.2267916666666667,0.2820833333333333
2026-05-19 00:00:00+02:00,0.8,4.04,-3.24,0.64625,1.42,16.075,0.20529166666666665,0.27858333333333335
2026-05-20 00:00:00+02:00,0.0,5.38,-5.38,0.9595833333333333,1.74,18.150000000000002,0.13920833333333335,0.269625
2026-05-21 00:00:00+02:00,0.30000000000000004,6.07,-5.77,1.2866666666666666,2.02,20.104166666666668,0.09658333333333334,0.2597916666666667
2026-05-22 00:00:00+02:00,0.8,6.23,-5.430000000000001,1.3079166666666666,2.03,21.575,0.09116666666666667,0.25233333333333335
2026-05-23 00:00:00+02:00,0.0,7.09,-7.09,1.5841666666666667,2.63,22.195833333333336,0.09945833333333333,0.25558333333333333
2026-05-24 00:00:00+02:00,0.0,6.73,-6.73,1.6345833333333333,2.63,23.025000000000002,0.09941666666666667,0.2545
2026-05-25 00:00:00+02:00,0.2,6.45,-6.25,1.7066666666666668,2.84,24.4875,0.093375,0.25125000000000003
2026-05-26 00:00:00+02:00,0.0,6.65,-6.65,1.79375,2.84,25.433333333333334,0.09170833333333334,0.24916666666666668
2026-05-27 00:00:00+02:00,0.1,7.22,-7.12,1.8808333333333334,3.5,25.629166666666666,0.09166666666666667,0.24670833333333334
2026-05-28 00:00:00+02:00,0.0,6.57,-6.57,1.39375,2.14,21.491666666666664,0.11508333333333333,0.243375
2026-05-29 00:00:00+02:00,0.0,5.08,-5.08,1.20125,2.04,18.766666666666666,0.11983333333333333,0.24187499999999998
2026-05-30 00:00:00+02:00,0.0,4.36,-4.36,1.0262499999999999,2.12,18.708333333333332,0.10533333333333333,0.239
2026-05-31 00:00:00+02:00,0.5,4.41,-3.91,0.87,1.62,20.3,0.11066666666666668,0.24454166666666666
2026-06-01 00:00:00+02:00,15.8,2.5300000000000002,13.27,0.42791666666666667,0.81,18.354166666666668,0.18995833333333334,0.25025000000000003
2026-06-02 00:00:00+02:00,7.1000000000000005,4.48,2.62,0.6441666666666667,1.53,18.945833333333333,0.328125,0.2500833333333333
2026-06-03 00:00:00+02:00,0.2,5.22,-5.0200000000000005,0.93,2.03,20.258333333333333,0.22891666666666666,0.24870833333333334
2026-06-04 00:00:00+02:00,0.9,4.21,-3.31,0.5437500000000001,1.07,20.779166666666665,0.1965,0.246375
2026-06-05 00:00:00+02:00,0.1,4.45,-4.35,0.7787499999999999,1.68,20.837500000000002,0.17816666666666667,0.24658333333333335
2026-06-06 00:00:00+02:00,1.8,3.37,-1.57,0.44208333333333333,0.82,19.841666666666665,0.17920833333333333,0.24529166666666666
2026-06-07 00:00:00+02:00,0.2,5.28,-5.08,0.9216666666666667,2.0,20.995833333333334,0.1701666666666667,0.23695833333333335
2026-06-08 00:00:00+02:00,0.0,5.12,-5.12,1.1920833333333334,2.24,21.329166666666666,0.13383333333333333,0.23258333333333334
2026-06-09 00:00:00+02:00,0.0,5.72,-5.72,1.4408333333333332,2.62,22.295833333333334,0.12358333333333334,0.22583333333333333
2026-06-10 00:00:00+02:00,0.8,5.34,-4.54,1.3545833333333333,2.61,24.1125,0.10825,0.22325000000000003
2026-06-11 00:00:00+02:00,4.9,4.13,0.7699999999999997,0.6741666666666667,1.51,21.233333333333334,0.15612499999999999,0.22783333333333333
2026-06-12 00:00:00+02:00,3.6,4.36,-0.76,0.58,1.17,18.525000000000002,0.20733333333333334,0.23741666666666664
2026-06-13 00:00:00+02:00,3.4000000000000004,3.87,-0.4700000000000003,0.40291666666666665,1.02,17.775000000000002,0.17812499999999998,0.2337916666666667
2026-06-14 00:00:00+02:00,3.5,4.63,-1.13,0.7591666666666667,1.66,19.166666666666668,0.17537499999999998,0.22370833333333331
2026-06-15 00:00:00+02:00,0.0,4.92,-4.92,1.0,1.88,18.6875,0.12283333333333334,0.23158333333333334
2026-06-16 00:00:00+02:00,0.2,6.29,-6.09,1.2591666666666665,2.37,21.025000000000002,0.09133333333333334,0.23541666666666664
2026-06-17 00:00:00+02:00,10.200000000000001,4.35,5.8500000000000005,0.7075,1.42,21.816666666666666,0.10604166666666666,0.22775
2026-06-18 00:00:00+02:00,0.1,4.86,-4.76,1.12125,2.26,23.28333333333333,0.09608333333333334,0.23929166666666668
2026-06-19 00:00:00+02:00,0.4,5.59,-5.19,1.4079166666666667,2.44,24.941666666666666,0.09654166666666668,0.23199999999999998
2026-06-20 00:00:00+02:00,0.6000000000000001,5.27,-4.67,1.4349999999999998,2.81,26.445833333333336,0.09529166666666666,0.21966666666666668
2026-06-21 00:00:00+02:00,8.4,4.87,3.5300000000000002,0.8220833333333334,1.87,26.158333333333335,0.13129166666666667,0.218
2026-06-22 00:00:00+02:00,5.1,4.65,0.4500000000000001,0.8916666666666666,1.69,25.804166666666664,0.10733333333333334,0.21745833333333334
2026-06-23 00:00:00+02:00,0.2,5.95,-5.75,1.31,2.54,25.78333333333333,0.11545833333333333,0.21595833333333334
2026-06-24 00:00:00+02:00,0.0,6.75,-6.75,1.7620833333333332,3.19,25.27916666666667,0.14208333333333334,0.21420833333333333
2026-06-25 00:00:00+02:00,0.0,7.359999999999999,-7.359999999999999,2.1350000000000002,3.54,26.95,0.103375,0.21195833333333333
2026-06-26 00:00:00+02:00,0.0,7.25,-7.25,2.30375,3.92,28.004166666666666,0.10770833333333334,0.21004166666666665
2026-06-27 00:00:00+02:00,0.0,7.32,-7.32,2.705416666666667,4.55,30.658333333333335,0.09258333333333334,0.208125
2026-06-28 00:00:00+02:00,0.0,7.37,-7.37,2.6941666666666664,4.35,31.337500000000002,0.09100000000000001,0.2060833333333333
2026-06-29 00:00:00+02:00,0.0,6.86,-6.86,2.9741666666666666,5.01,32.43333333333333,0.09100000000000001,0.20404166666666668
2026-06-30 00:00:00+02:00,0.0,6.92,-6.92,2.7504166666666667,4.82,31.883333333333336,0.09141666666666666,0.20679166666666668
2026-07-01 00:00:00+02:00,1.8,5.8,-4.0,1.4695833333333335,3.34,28.266666666666666,0.13104166666666667,0.1994166666666667
2026-07-02 00:00:00+02:00,4.5,5.71,-1.21,1.1020833333333333,2.07,27.145833333333332,0.07820833333333334,0.19129166666666667
2026-07-03 00:00:00+02:00,0.1,7.0600000000000005,-6.96,1.7641666666666669,3.14,26.8875,0.0755,0.18966666666666665
