time,latitude,longitude,height_km,event_type,peak_current_ka,location_error,distance_km
2026-08-08 10:04:41.336122900+00:00,46.5158,22.9112,0.0,1,6.6,0.354,149.09117843119344
2026-08-08 10:04:41.347176300+00:00,46.5169,22.9218,0.0,1,10.5,0.298,149.5238466294667
2026-08-08 10:09:50.329439400+00:00,46.4945,22.8828,0.0,1,-7.9,0.306,149.52620092429865
2026-08-08 10:11:14.572103100+00:00,46.4966,22.8935,0.0,1,-18.1,0.181,149.86325602970774
2026-08-08 10:12:30.419892700+00:00,46.5366,22.8956,0.0,1,-9.7,0.205,146.55633871711163
2026-08-08 10:13:07.539076600+00:00,46.5064,22.9111,0.0,1,-7.6,0.192,149.8851748585533
2026-08-08 10:19:00.832935+00:00,46.5072,22.8825,0.0,1,-22.1,0.295,148.41805264890726
2026-08-08 10:34:20.002827300+00:00,46.524,22.9148,0.0,1,-24.2,0.286,148.57579787791988
2026-08-08 10:37:05.958896300+00:00,46.5177,22.8856,0.0,1,-18.7,0.347,147.66955864278557
2026-08-08 10:42:54.412646700+00:00,46.5812,22.8606,0.0,1,5.9,0.137,141.05300809062314
2026-08-08 10:42:54.421006+00:00,46.5793,22.8601,0.0,1,4.5,0.159,141.18739930099903
2026-08-08 10:42:54.421810900+00:00,46.579,22.8617,0.0,1,6.0,0.104,141.29277277119743
2026-08-08 10:49:26.746483+00:00,46.5745,22.8967,0.0,1,-5.4,0.061,143.4347476738496
2026-08-08 10:49:40.390849900+00:00,46.5214,22.9065,0.0,1,-5.3,0.237,148.38368703883648
2026-08-08 10:50:49.794865600+00:00,46.5093,22.9045,0.0,1,-7.9,0.299,149.3135165590865
2026-08-08 10:50:49.910355200+00:00,46.5146,22.8945,0.0,1,-5.8,0.286,148.37046181002069
2026-08-08 10:50:50.044158200+00:00,46.5161,22.8813,0.0,1,-9.8,0.359,147.59625404432438
2026-08-08 10:51:06.971877+00:00,46.5431,22.9116,0.0,1,-4.4,0.125,146.80854958012466
2026-08-08 10:54:10.155527400+00:00,46.5331,22.91,0.0,1,5.6,0.272,147.5689509688814
2026-08-08 10:54:49.912205500+00:00,46.54,22.9198,0.0,1,5.5,0.238,147.48058689750548
2026-08-08 10:55:02.259394700+00:00,46.5408,22.8353,0.0,1,-10.6,0.302,143.2392499494871
2026-08-08 10:55:57.221533900+00:00,46.5326,22.8861,0.0,1,6.3,0.208,146.42467389860784
2026-08-08 10:58:11.118950100+00:00,46.5312,22.9012,0.0,1,5.0,0.056,147.29112073017134
2026-08-08 10:58:11.119799600+00:00,46.534,22.89,0.0,1,6.8,0.389,146.49868043431994
2026-08-08 10:58:11.141751800+00:00,46.5254,22.8966,0.0,1,5.1,0.155,147.55466278326298
2026-08-08 10:59:40.040186500+00:00,46.5469,22.9278,0.0,1,4.7,0.386,147.30850351297582
2026-08-08 11:02:45.602746100+00:00,46.5252,22.9262,0.0,1,26.4,0.303,149.04372561425535
2026-08-08 11:04:02.759537300+00:00,46.5814,22.9052,0.0,1,-9.4,0.198,143.29641496982515
2026-08-08 11:04:02.759704600+00:00,46.5854,22.8971,0.0,1,13.8,0.193,142.55166096624077
2026-08-08 11:04:02.763259300+00:00,46.578,22.8828,0.0,1,-43.3,0.317,142.43893440532761
2026-08-08 11:04:02.774679900+00:00,46.5844,22.9056,0.0,1,5.5,0.123,143.06931101520877
2026-08-08 11:04:02.792546700+00:00,46.557,22.8861,0.0,1,-9.0,0.169,144.36294365865822
2026-08-08 11:06:20.156914800+00:00,46.5737,22.8892,0.0,1,5.9,0.227,143.12112960880506
2026-08-08 11:06:20.171662400+00:00,46.5708,22.8973,0.0,1,7.5,0.217,143.77289492010502
2026-08-08 11:06:20.183792400+00:00,46.5715,22.8906,0.0,1,-5.9,0.081,143.37535254414925
2026-08-08 11:09:41.093052600+00:00,46.5471,22.9298,0.0,1,-21.3,0.307,147.3932839639695
2026-08-08 11:12:11.305137800+00:00,46.5407,22.8467,0.0,1,-23.4,0.27,143.80142689993323
2026-08-08 11:13:02.831918700+00:00,46.6577,22.9209,0.0,1,-6.2,0.179,137.95316739878328
2026-08-08 11:13:39.207920200+00:00,46.5895,22.8933,0.0,1,5.5,0.221,142.01853883747654
