temperature_mean_c,precipitation_total_mm,wind_speed_mean_ms,pressure_mean_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,et0_total_mm,water_balance_mm,baseline_year
20.0,0.4,2.36,1016.5,55.0,4494.444444804,3.27,-2.87,1991
28.0,0.0,5.79,1015.7,13.0,5366.666667096,6.32,-6.32,1992
17.7,0.4,4.12,1014.0,76.0,4027.7777781000004,3.18,-2.7800000000000002,1993
19.1,31.0,5.38,1000.9,91.0,2911.111111344,2.05,28.95,1994
20.9,4.9,2.63,1005.6,93.0,2916.6666669,2.14,2.7600000000000002,1995
21.8,0.4,3.08,1013.5,18.0,5383.333333764001,3.91,-3.5100000000000002,1996
21.1,0.0,4.6,1008.6,90.0,3880.5555558660003,3.49,-3.49,1997
15.6,0.0,4.3,1016.1,43.0,4538.888889252,3.32,-3.32,1998
17.3,0.0,5.21,1021.5,7.0,5958.33333381,4.31,-4.31,1999
16.9,0.0,6.91,1016.5,27.0,4602.777778146001,4.09,-4.09,2000
23.2,0.0,4.0,1017.0,13.0,5438.888889324,4.52,-4.52,2001
22.6,0.0,4.21,1020.0,11.0,5225.000000418,4.51,-4.51,2002
20.5,0.0,3.29,1010.9,35.0,4533.333333696,4.02,-4.02,2003
20.9,9.9,3.45,1006.7,88.0,4541.666667030001,3.31,6.59,2004
21.0,0.3,3.29,1015.0,79.0,2908.3333335660004,2.1,-1.8,2005
19.7,0.0,4.0,1008.3,85.0,5019.444444846001,3.47,-3.47,2006
25.5,0.0,6.95,1019.7,25.0,5294.444444868,6.09,-6.09,2007
20.0,0.0,2.51,1020.4,23.0,4877.777778168,3.55,-3.55,2008
24.2,0.0,3.6,1017.6,14.0,5838.888889356001,4.93,-4.93,2009
20.3,0.0,4.48,1016.1,24.0,5525.000000442001,4.17,-4.17,2010
27.6,0.3,3.52,1015.1,6.0,5655.555556008,4.85,-4.55,2011
27.5,0.0,5.13,1006.8,16.0,5216.666667084,6.4,-6.4,2012
20.1,17.5,3.26,1011.4,87.0,3800.0000003040004,2.62,14.879999999999999,2013
16.5,0.9,5.36,1011.8,88.0,3572.222222508,2.74,-1.8400000000000003,2014
22.8,0.0,2.59,1018.3,38.0,4797.222222606,3.62,-3.62,2015
21.4,0.0,5.09,1022.3,0.0,6166.6666671600005,5.01,-5.01,2016
24.5,0.0,4.18,1017.5,1.0,6027.777778260001,5.22,-5.22,2017
18.7,13.5,4.39,1009.2,90.0,3569.44444473,2.34,11.16,2018
25.0,0.7,3.25,1020.3,71.0,4188.888889224,3.65,-2.95,2019
21.0,0.0,6.81,1013.5,21.0,5822.222222688,5.01,-5.01,2020
