time,generation_cross_border_electricity_trading_mw,generation_nuclear_mw,generation_hydro_run_of_river_mw,generation_biomass_mw,generation_fossil_brown_coal_lignite_mw,generation_fossil_oil_mw,generation_fossil_gas_mw,generation_geothermal_mw,generation_hydro_water_reservoir_mw,generation_others_mw,generation_other_renewables_mw,generation_waste_mw,wind_onshore_generation_mw,solar_generation_mw,load_mw,residual_load_mw,renewable_share_of_load_pct,renewable_share_of_generation_pct,day_ahead_price_eur_mwh,flow_austria_gw,flow_croatia_gw,flow_romania_gw,flow_serbia_gw,flow_slovakia_gw,flow_slovenia_gw,flow_ukraine_gw,flow_sum_gw,net_import_mw
2026-08-27 22:00:00+00:00,1935.0,1838.2,2.0,166.4,183.9,0.0,536.1,0.2,4.0,49.0,11.2,19.9,117.2,0.1,4925.2,4807.9,6.3,10.6,192.75,0.73,-1.073,-0.334,-0.37,2.572,-0.27,0.707,1.962,3923.9999999999995
2026-08-27 22:15:00+00:00,1860.1,1837.7,2.0,166.3,183.3,0.0,519.8,0.2,4.0,54.5,11.1,18.8,120.5,0.1,4808.3,4687.7,6.5,10.7,192.11,0.717,-1.107,-0.347,-0.37,2.545,-0.293,0.707,1.853,3705.0
2026-08-27 22:30:00+00:00,1728.6,1838.5,2.0,166.2,182.9,0.0,518.4,0.2,4.0,49.4,10.5,19.6,129.5,0.1,4742.9,4613.3,6.8,11.0,179.19,0.749,-1.141,-0.356,-0.37,2.53,-0.285,0.707,1.834,3668.0
2026-08-27 22:45:00+00:00,1645.0,1838.5,1.9,166.5,183.5,0.0,499.9,0.2,4.0,50.8,11.2,19.4,129.9,0.2,4656.8,4526.8,6.9,11.1,171.08,0.684,-1.146,-0.348,-0.37,2.534,-0.303,0.707,1.758,3516.0
2026-08-27 23:00:00+00:00,1801.9,1838.9,1.9,166.3,179.4,0.0,295.1,0.2,4.0,79.6,11.2,19.0,129.5,0.7,4610.6,4480.3,7.0,11.9,175.13,0.674,-1.122,-0.301,-0.377,2.568,-0.328,0.747,1.861,3721.9999999999995
2026-08-27 23:15:00+00:00,1856.5,1839.0,1.9,166.4,167.5,0.0,145.4,0.2,4.0,75.5,10.9,19.8,138.0,0.1,4514.0,4375.9,7.3,12.9,171.96,0.7,-1.128,-0.302,-0.377,2.615,-0.328,0.747,1.926,3852.9999999999995
2026-08-27 23:30:00+00:00,1844.5,1839.2,2.0,166.5,149.9,0.0,135.0,0.2,4.0,70.2,11.0,20.5,129.8,0.1,4449.5,4319.6,7.3,12.8,168.02,0.709,-1.154,-0.319,-0.377,2.643,-0.322,0.747,1.926,3852.9999999999995
2026-08-27 23:45:00+00:00,1772.4,1839.1,2.0,166.3,149.5,0.0,123.0,0.2,4.0,53.6,11.0,20.2,129.2,0.1,4375.7,4246.3,7.4,12.9,163.33,0.688,-1.148,-0.304,-0.377,2.596,-0.349,0.747,1.853,3706.0000000000005
2026-08-28 00:00:00+00:00,1705.1,1839.8,2.0,166.3,145.6,0.0,140.7,0.2,4.0,77.7,11.0,20.0,130.2,0.2,4348.3,4217.9,7.4,12.8,165.76,0.635,-1.115,-0.287,-0.346,2.519,-0.365,0.749,1.791,3581.0
2026-08-28 00:15:00+00:00,1704.5,1839.5,2.0,166.3,145.4,0.0,132.8,0.2,4.0,70.0,9.5,19.4,125.5,0.1,4301.2,4175.6,7.4,12.6,164.7,0.628,-1.112,-0.303,-0.346,2.516,-0.367,0.749,1.766,3531.0
