time,latitude,longitude,height_km,event_type,peak_current_ka,location_error,distance_km
2026-08-02 12:01:29.011100800+00:00,48.0817,20.3861,4.8,2,4.6,0.029,111.05662691455535
2026-08-02 12:01:52.542953900+00:00,48.0872,20.4141,0.0,1,-3.3,0.082,109.65682898230445
2026-08-02 12:01:52.554434+00:00,48.084,20.4173,0.0,1,-7.9,0.081,109.26136900000814
2026-08-02 12:01:52.688535500+00:00,48.0847,20.4267,0.0,1,-8.4,0.066,108.72505662636094
2026-08-02 12:02:41.568095200+00:00,48.0749,20.2211,0.0,1,-2.7,0.112,121.15791687593317
2026-08-02 12:03:22.883599900+00:00,48.0788,20.3736,4.8,2,3.4,0.06,111.66310019533167
2026-08-02 12:03:22.885131200+00:00,48.0794,20.3778,5.9,2,-10.8,0.04,111.4362290812477
2026-08-02 12:03:22.893001800+00:00,48.0749,20.3768,0.0,1,5.9,0.086,111.22962219534176
2026-08-02 12:03:22.898876100+00:00,48.0828,20.3695,6.7,2,4.7,0.061,112.15934292806284
2026-08-02 12:03:45.329925900+00:00,48.0733,20.3633,0.0,1,19.9,0.081,111.98295175522517
2026-08-02 12:03:45.345531500+00:00,48.072,20.3613,0.0,1,-8.1,0.104,112.03230656588255
2026-08-02 12:03:45.470553500+00:00,48.0828,20.3212,0.0,1,-6.7,0.068,115.19695716025
2026-08-02 12:04:48.315958600+00:00,48.0785,20.3778,0.0,1,-4.4,0.103,111.38223988037309
2026-08-02 12:04:48.403810200+00:00,48.103,20.4017,0.0,1,7.9,0.084,111.40402999676095
2026-08-02 12:04:48.458630100+00:00,48.1063,20.4225,0.0,1,-4.2,0.082,110.34168827409802
2026-08-02 12:06:09.908557200+00:00,48.0767,20.3714,0.0,1,-9.8,0.071,111.67559027033823
2026-08-02 12:07:15.109746500+00:00,48.0566,20.3792,0.0,1,-23.2,0.069,109.99973387153386
2026-08-02 12:08:32.961936200+00:00,48.0857,20.3798,0.0,1,-2.8,0.126,111.6913293345681
2026-08-02 12:08:32.971937900+00:00,48.0866,20.3802,0.0,1,6.1,0.07,111.72098780649614
2026-08-02 12:08:32.985183400+00:00,48.0772,20.3883,0.0,1,-4.9,0.073,110.64775832726629
2026-08-02 12:08:32.985661100+00:00,48.0783,20.3879,0.0,1,-3.2,0.062,110.73901374174758
2026-08-02 12:08:32.990896900+00:00,48.0782,20.3829,0.0,1,-68.5,0.077,111.04530445153097
2026-08-02 12:08:33.012536800+00:00,48.0836,20.387,0.0,1,2.9,0.073,111.11567716702896
2026-08-02 12:10:34.584470500+00:00,48.0868,20.3893,0.0,1,3.5,0.088,111.16736215124223
2026-08-02 12:10:34.590367800+00:00,48.0812,20.3971,0.0,1,-73.1,0.079,110.34148899456059
2026-08-02 12:10:34.596575400+00:00,48.087,20.3909,0.0,1,-5.5,0.079,111.08023343812637
2026-08-02 12:10:34.609381300+00:00,48.0816,20.3969,0.0,1,-43.9,0.1,110.37826614776584
2026-08-02 12:10:34.630673200+00:00,48.0799,20.3979,0.0,1,-40.9,0.093,110.21268300925371
2026-08-02 12:10:34.703901200+00:00,48.1003,20.3658,0.0,1,-6.0,0.108,113.45047618191138
2026-08-02 12:10:34.739958900+00:00,48.0757,20.4217,0.0,1,-4.5,0.071,108.47834043038037
2026-08-02 12:10:34.744935200+00:00,48.0722,20.3876,0.0,1,-3.4,0.03,110.39150321025632
2026-08-02 12:12:43.716867+00:00,48.0749,20.3974,0.0,1,3.6,0.096,109.94101469640289
2026-08-02 12:12:43.720104200+00:00,48.074,20.3971,6.6,2,3.2,0.055,109.90545464180761
2026-08-02 12:12:43.727384100+00:00,48.0781,20.3963,0.0,1,-5.5,0.081,110.20308637720629
2026-08-02 12:12:43.728752+00:00,48.0769,20.3923,0.0,1,6.1,0.071,110.37995486235128
2026-08-02 12:12:43.766545800+00:00,48.0821,20.4397,4.5,2,-5.0,0.036,107.76325365673142
2026-08-02 12:12:43.779962300+00:00,48.0919,20.3856,0.0,1,2.9,0.087,111.70871454945802
2026-08-02 12:14:35.110644100+00:00,48.0868,20.3311,0.0,1,4.0,0.076,114.80703881485624
2026-08-02 12:14:35.112868800+00:00,48.0847,20.3312,0.0,1,3.5,0.055,114.67700249049547
2026-08-02 12:14:35.121667700+00:00,48.0883,20.3261,0.0,1,3.6,0.089,115.21034961649005
2026-08-02 12:14:35.223456200+00:00,48.1081,20.2806,0.0,1,-3.9,0.1,119.24256934430797
