time,cape,convective_inhibition,freezing_level_height,boundary_layer_height,total_column_integrated_water_vapour,wet_bulb_temperature_2m
2026-09-07 00:00:00+00:00,0.0,0.0,4190.0,150.0,14.4,10.4
2026-09-07 01:00:00+00:00,0.0,0.0,4250.0,135.0,14.6,10.1
2026-09-07 02:00:00+00:00,0.0,0.0,4270.0,110.0,14.6,9.9
2026-09-07 03:00:00+00:00,0.0,0.0,4260.0,85.0,15.0,9.6
2026-09-07 04:00:00+00:00,0.0,0.0,4300.0,70.0,15.4,9.2
2026-09-07 05:00:00+00:00,0.0,0.0,4250.0,85.0,15.7,9.4
2026-09-07 06:00:00+00:00,0.0,0.0,4240.0,120.0,15.5,10.5
2026-09-07 07:00:00+00:00,0.0,0.0,4210.0,260.0,15.3,11.8
2026-09-07 08:00:00+00:00,0.0,0.0,4240.0,495.0,15.7,12.6
2026-09-07 09:00:00+00:00,0.0,0.0,4230.0,895.0,16.0,7.1
2026-09-07 10:00:00+00:00,0.0,0.0,4210.0,1385.0,16.6,7.9
2026-09-07 11:00:00+00:00,0.0,0.0,4210.0,1630.0,17.3,8.4
2026-09-07 12:00:00+00:00,0.0,0.0,4200.0,1785.0,17.7,8.7
2026-09-07 13:00:00+00:00,0.0,0.0,4200.0,1740.0,18.3,8.9
2026-09-07 14:00:00+00:00,0.0,0.0,4210.0,1690.0,19.0,8.9
2026-09-07 15:00:00+00:00,0.0,0.0,4210.0,1655.0,19.2,13.7
2026-09-07 16:00:00+00:00,0.0,0.0,4200.0,95.0,19.2,13.6
2026-09-07 17:00:00+00:00,0.0,0.0,4220.0,45.0,19.0,13.2
2026-09-07 18:00:00+00:00,0.0,0.0,4180.0,40.0,19.1,13.1
2026-09-07 19:00:00+00:00,0.0,0.0,4190.0,45.0,19.2,12.5
2026-09-07 20:00:00+00:00,0.0,0.0,4090.0,80.0,19.8,12.2
2026-09-07 21:00:00+00:00,0.0,0.0,4080.0,105.0,20.4,11.5
