start_date,end_date,similarity,distance,character,metrics
2016-09-07,2016-09-09,98.9,0.148,"warm, dry, bright","{'temperature_mean_c': 22.099999999999998, 'precipitation_total_mm': 0.0, 'wind_speed_10m_mean_ms': 2.3566666666666647, 'shortwave_total_mj_m2': 56.60000000000005, 'cloud_cover_mean_pct': 16.0, 'pressure_mean_hpa': 1018.0666666666667}"
2016-08-31,2016-09-02,98.6,0.165,"dry, bright","{'temperature_mean_c': 20.533333333333335, 'precipitation_total_mm': 0.0, 'wind_speed_10m_mean_ms': 2.216666666666665, 'shortwave_total_mj_m2': 59.550000000000054, 'cloud_cover_mean_pct': 9.0, 'pressure_mean_hpa': 1020.3666666666667}"
2011-08-20,2011-08-22,98.3,0.187,"warm, dry, bright","{'temperature_mean_c': 22.100000000000005, 'precipitation_total_mm': 0.0, 'wind_speed_10m_mean_ms': 2.2233333333333323, 'shortwave_total_mj_m2': 67.31, 'cloud_cover_mean_pct': 10.0, 'pressure_mean_hpa': 1019.2666666666665}"
2012-08-28,2012-08-30,98.2,0.189,"dry, bright","{'temperature_mean_c': 20.333333333333332, 'precipitation_total_mm': 0.0, 'wind_speed_10m_mean_ms': 2.016666666666666, 'shortwave_total_mj_m2': 63.480000000000004, 'cloud_cover_mean_pct': 12.333333333333334, 'pressure_mean_hpa': 1018.9333333333334}"
2020-09-04,2020-09-06,97.9,0.204,"dry, bright","{'temperature_mean_c': 20.33333333333334, 'precipitation_total_mm': 0.0, 'wind_speed_10m_mean_ms': 2.0199999999999965, 'shortwave_total_mj_m2': 56.51000000000006, 'cloud_cover_mean_pct': 13.333333333333334, 'pressure_mean_hpa': 1019.266666666667}"
