time,cape,convective_inhibition,freezing_level_height,boundary_layer_height,total_column_integrated_water_vapour,wet_bulb_temperature_2m
2026-09-22 00:00:00+00:00,0.0,0.0,1880.0,85.0,16.7,8.2
2026-09-22 01:00:00+00:00,0.0,0.0,1900.0,85.0,16.6,8.2
2026-09-22 02:00:00+00:00,0.0,0.0,1820.0,70.0,17.2,8.0
2026-09-22 03:00:00+00:00,10.0,0.0,1870.0,35.0,17.4,7.9
2026-09-22 04:00:00+00:00,10.0,0.0,1830.0,20.0,17.2,7.9
2026-09-22 05:00:00+00:00,80.0,0.0,1790.0,20.0,16.9,8.4
2026-09-22 06:00:00+00:00,0.0,0.0,1740.0,300.0,16.6,8.7
2026-09-22 07:00:00+00:00,10.0,0.0,1760.0,265.0,16.6,9.5
2026-09-22 08:00:00+00:00,0.0,0.0,1760.0,770.0,17.0,10.1
2026-09-22 09:00:00+00:00,20.0,0.0,1720.0,1305.0,17.1,10.3
2026-09-22 10:00:00+00:00,10.0,0.0,1780.0,1670.0,16.7,10.7
2026-09-22 11:00:00+00:00,30.0,0.0,1800.0,1910.0,16.5,11.1
2026-09-22 12:00:00+00:00,0.0,0.0,1840.0,1490.0,15.5,10.7
2026-09-22 13:00:00+00:00,0.0,0.0,1900.0,1125.0,15.9,11.1
2026-09-22 14:00:00+00:00,10.0,0.0,1950.0,1420.0,15.3,10.6
2026-09-22 15:00:00+00:00,70.0,0.0,1950.0,985.0,15.9,11.0
2026-09-22 16:00:00+00:00,20.0,0.0,2000.0,730.0,15.5,11.2
2026-09-22 17:00:00+00:00,0.0,0.0,1920.0,135.0,15.8,10.6
2026-09-22 18:00:00+00:00,0.0,0.0,1920.0,65.0,15.8,10.0
2026-09-22 19:00:00+00:00,0.0,0.0,1960.0,70.0,15.9,9.7
2026-09-22 20:00:00+00:00,0.0,0.0,2100.0,55.0,16.2,9.3
2026-09-22 21:00:00+00:00,0.0,0.0,2080.0,45.0,16.0,8.9
2026-09-22 22:00:00+00:00,0.0,0.0,1970.0,60.0,17.0,8.8
2026-09-22 23:00:00+00:00,10.0,0.0,1920.0,70.0,17.8,9.1
2026-09-23 00:00:00+00:00,30.0,0.0,2000.0,50.0,18.7,9.3
2026-09-23 01:00:00+00:00,0.0,0.0,2000.0,75.0,18.6,9.4
2026-09-23 02:00:00+00:00,0.0,0.0,1970.0,85.0,18.3,9.3
2026-09-23 03:00:00+00:00,10.0,0.0,1930.0,105.0,18.1,9.0
2026-09-23 04:00:00+00:00,20.0,0.0,1890.0,105.0,18.1,8.6
2026-09-23 05:00:00+00:00,10.0,0.0,1900.0,95.0,18.1,8.5
2026-09-23 06:00:00+00:00,10.0,0.0,1970.0,95.0,17.5,9.1
2026-09-23 07:00:00+00:00,0.0,0.0,1970.0,650.0,17.3,9.9
2026-09-23 08:00:00+00:00,0.0,0.0,2010.0,1040.0,16.8,11.3
2026-09-23 09:00:00+00:00,0.0,0.0,2010.0,1190.0,16.7,11.7
2026-09-23 10:00:00+00:00,0.0,0.0,2030.0,1220.0,16.5,12.2
2026-09-23 11:00:00+00:00,0.0,0.0,2020.0,1390.0,16.7,12.1
2026-09-23 12:00:00+00:00,0.0,0.0,2050.0,1770.0,16.2,12.0
2026-09-23 13:00:00+00:00,0.0,0.0,2020.0,1720.0,16.0,11.7
2026-09-23 14:00:00+00:00,20.0,0.0,2010.0,1805.0,15.5,11.4
2026-09-23 15:00:00+00:00,20.0,0.0,2010.0,1770.0,15.7,10.8
2026-09-23 16:00:00+00:00,40.0,0.0,2070.0,125.0,15.4,10.8
2026-09-23 17:00:00+00:00,40.0,0.0,2040.0,45.0,15.5,10.5
2026-09-23 18:00:00+00:00,20.0,0.0,2050.0,50.0,16.0,10.3
2026-09-23 19:00:00+00:00,50.0,0.0,2020.0,200.0,16.0,10.3
2026-09-23 20:00:00+00:00,10.0,0.0,2020.0,225.0,16.0,10.2
2026-09-23 21:00:00+00:00,10.0,0.0,1960.0,245.0,15.8,9.5
2026-09-23 22:00:00+00:00,20.0,0.0,1920.0,230.0,15.1,9.2
2026-09-23 23:00:00+00:00,10.0,0.0,1960.0,165.0,14.4,9.1
2026-09-24 00:00:00+00:00,10.0,0.0,1940.0,100.0,14.1,9.0
2026-09-24 01:00:00+00:00,0.0,0.0,1910.0,75.0,13.6,8.2
2026-09-24 02:00:00+00:00,0.0,0.0,1910.0,60.0,13.5,7.6
2026-09-24 03:00:00+00:00,0.0,0.0,1830.0,40.0,13.5,7.3
2026-09-24 04:00:00+00:00,0.0,0.0,1770.0,25.0,13.5,7.1
2026-09-24 05:00:00+00:00,0.0,0.0,1750.0,15.0,13.5,7.4
2026-09-24 06:00:00+00:00,0.0,0.0,1730.0,45.0,13.2,8.1
2026-09-24 07:00:00+00:00,0.0,0.0,1740.0,180.0,13.0,8.7
2026-09-24 08:00:00+00:00,0.0,0.0,2160.0,535.0,14.0,9.5
2026-09-24 09:00:00+00:00,0.0,0.0,2220.0,755.0,14.4,10.4
2026-09-24 10:00:00+00:00,0.0,0.0,2400.0,1370.0,15.1,10.8
2026-09-24 11:00:00+00:00,0.0,0.0,2460.0,1710.0,16.6,10.9
2026-09-24 12:00:00+00:00,0.0,0.0,2470.0,1660.0,18.4,11.0
2026-09-24 13:00:00+00:00,10.0,0.0,2060.0,1485.0,20.1,10.8
2026-09-24 14:00:00+00:00,0.0,0.0,2190.0,1535.0,20.4,10.8
2026-09-24 15:00:00+00:00,0.0,0.0,2170.0,220.0,21.4,10.5
2026-09-24 16:00:00+00:00,0.0,0.0,2090.0,730.0,22.8,10.7
2026-09-24 17:00:00+00:00,30.0,0.0,2200.0,415.0,23.3,11.7
2026-09-24 18:00:00+00:00,10.0,0.0,2460.0,370.0,22.5,11.9
