temperature_mean_c,precipitation_total_mm,wind_speed_mean_ms,pressure_mean_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,et0_total_mm,water_balance_mm,baseline_year
24.0,0.2,2.8,1016.2,46.0,5408.333333766001,4.33,-4.13,1990
17.8,0.1,6.15,1019.8,45.0,5008.333333734001,3.74,-3.64,1991
30.1,0.0,5.33,1009.0,35.0,4972.22222262,6.33,-6.33,1992
15.4,0.0,4.15,1021.0,27.0,4452.777778134001,3.1,-3.1,1993
21.5,0.9,2.23,1016.0,66.0,4944.444444840001,3.54,-2.64,1994
13.4,0.8,3.78,1009.3,68.0,3347.2222224900006,2.17,-1.3699999999999999,1995
20.5,11.4,2.55,1016.3,96.0,2786.1111113340003,1.96,9.440000000000001,1996
16.2,2.3,5.47,1007.9,96.0,730.555555614,0.98,1.3199999999999998,1997
15.0,0.0,2.85,1015.5,46.0,4277.77777812,2.8,-2.8,1998
21.4,0.0,5.14,1013.6,98.0,3977.7777780960005,3.61,-3.61,1999
21.2,0.0,1.57,1015.2,46.0,4669.444444818,3.54,-3.54,2000
16.2,0.0,4.8,1014.0,29.0,4313.888889234,3.34,-3.34,2001
21.8,0.0,3.89,1016.2,21.0,5177.777778192,4.38,-4.38,2002
25.7,0.8,7.05,1008.1,41.0,5616.666667116,6.44,-5.640000000000001,2003
21.6,0.0,2.58,1016.0,36.0,4900.000000392,3.62,-3.62,2004
21.5,0.0,2.82,1023.9,32.0,4861.1111115,3.42,-3.42,2005
13.8,0.2,5.26,1007.6,86.0,2961.111111348,2.21,-2.01,2006
17.1,5.5,4.46,1013.1,98.0,3266.6666669280003,2.34,3.16,2007
18.8,0.1,7.19,1016.3,34.0,5213.888889306,4.66,-4.5600000000000005,2008
19.3,4.3,6.15,1018.7,64.0,4822.222222608,3.85,0.44999999999999973,2009
15.1,2.4,3.06,1010.3,81.0,4500.00000036,2.93,-0.5300000000000002,2010
23.5,0.0,2.49,1010.4,41.0,5033.333333736001,4.05,-4.05,2011
22.2,0.0,3.41,1017.9,7.0,5877.777778248001,4.81,-4.81,2012
18.1,0.0,4.5,1017.9,29.0,5144.444444856001,3.61,-3.61,2013
18.5,0.0,2.0,1018.1,36.0,5850.0000004680005,3.86,-3.86,2014
26.8,0.0,2.98,1020.8,40.0,5783.333333796,4.82,-4.82,2015
22.7,0.0,6.74,1017.7,31.0,4816.666667052001,4.69,-4.69,2016
19.5,0.0,2.25,1018.2,6.0,5983.333333812,4.06,-4.06,2017
21.5,0.0,2.11,1016.4,14.0,5827.777778244001,4.04,-4.04,2018
26.1,0.0,3.9,1018.7,15.0,5311.111111536001,5.08,-5.08,2019
27.4,0.0,7.24,1009.1,16.0,5833.3333338,6.44,-6.44,2020
16.3,3.0,5.53,1011.5,82.0,3186.1111113660004,2.19,0.81,2021
23.0,0.6,4.48,1017.0,77.0,4994.444444844001,4.2,-3.6,2022
20.3,11.5,3.38,1005.4,95.0,3302.7777780420006,2.33,9.17,2023
25.4,0.0,5.04,1016.9,14.0,5277.7777782,5.3,-5.3,2024
24.1,0.0,3.98,1007.8,58.0,5302.777778202,4.71,-4.71,2025
