start_date,end_date,similarity,distance,character,metrics
2012-08-09,2012-08-11,98.0,0.199,bright,"{'temperature_mean_c': 21.266666666666666, 'precipitation_total_mm': 0.9999999999999947, 'wind_speed_10m_mean_ms': 3.0733333333333324, 'shortwave_total_mj_m2': 58.760000000000005, 'cloud_cover_mean_pct': 41.666666666666664, 'pressure_mean_hpa': 1017.2333333333332}"
2019-09-02,2019-09-04,97.7,0.215,seasonally typical mixed weather,"{'temperature_mean_c': 20.600000000000005, 'precipitation_total_mm': 1.299999999999993, 'wind_speed_10m_mean_ms': 3.1899999999999973, 'shortwave_total_mj_m2': 50.060000000000045, 'cloud_cover_mean_pct': 41.666666666666664, 'pressure_mean_hpa': 1016.8666666666671}"
2012-09-05,2012-09-07,97.4,0.229,seasonally typical mixed weather,"{'temperature_mean_c': 20.73333333333333, 'precipitation_total_mm': 1.8999999999999946, 'wind_speed_10m_mean_ms': 2.803333333333333, 'shortwave_total_mj_m2': 51.010000000000005, 'cloud_cover_mean_pct': 38.0, 'pressure_mean_hpa': 1016.8666666666668}"
2013-08-14,2013-08-16,97.1,0.241,"dry, bright","{'temperature_mean_c': 21.100000000000005, 'precipitation_total_mm': 0.0999999999999929, 'wind_speed_10m_mean_ms': 3.066666666666665, 'shortwave_total_mj_m2': 59.83000000000003, 'cloud_cover_mean_pct': 42.333333333333336, 'pressure_mean_hpa': 1019.0666666666667}"
2012-08-16,2012-08-18,96.9,0.25,"dry, bright","{'temperature_mean_c': 21.333333333333332, 'precipitation_total_mm': 0.0, 'wind_speed_10m_mean_ms': 2.9933333333333327, 'shortwave_total_mj_m2': 56.79000000000001, 'cloud_cover_mean_pct': 47.333333333333336, 'pressure_mean_hpa': 1017.7333333333332}"
