time,generation_cross_border_electricity_trading_mw,generation_nuclear_mw,generation_hydro_run_of_river_mw,generation_biomass_mw,generation_fossil_brown_coal_lignite_mw,generation_fossil_oil_mw,generation_fossil_gas_mw,generation_geothermal_mw,generation_hydro_water_reservoir_mw,generation_others_mw,generation_other_renewables_mw,generation_waste_mw,wind_onshore_generation_mw,solar_generation_mw,load_mw,residual_load_mw,renewable_share_of_load_pct,renewable_share_of_generation_pct,day_ahead_price_eur_mwh,flow_austria_gw,flow_croatia_gw,flow_romania_gw,flow_serbia_gw,flow_slovakia_gw,flow_slovenia_gw,flow_ukraine_gw,flow_sum_gw,net_import_mw
2026-09-03 22:00:00+00:00,1688.9,1844.6,2.5,152.7,178.2,0.0,518.8,0.2,1.8,30.6,24.5,14.1,74.5,0.3,4727.1,4652.3,5.6,9.3,222.52,0.531,-0.839,-0.39,-0.209,2.53,-0.314,0.555,1.866,3730.0
2026-09-03 22:15:00+00:00,1684.1,1844.5,2.5,152.7,179.1,0.0,536.3,0.2,1.8,28.7,24.2,15.0,80.2,0.3,4645.4,4564.9,5.8,9.4,229.86,0.475,-0.929,-0.401,-0.209,2.61,-0.364,0.555,1.738,3475.0
2026-09-03 22:30:00+00:00,1538.3,1842.1,2.5,152.7,182.9,0.0,529.0,0.2,1.8,48.4,24.1,14.4,84.2,0.2,4575.5,4491.2,6.0,9.5,227.03,0.498,-0.938,-0.431,-0.209,2.578,-0.351,0.555,1.702,3404.0
2026-09-03 22:45:00+00:00,1540.9,1842.3,2.5,152.7,180.3,0.0,498.7,0.2,1.8,24.8,24.0,13.7,99.3,0.1,4502.0,4402.6,6.4,10.1,213.02,0.452,-0.89,-0.443,-0.209,2.508,-0.366,0.555,1.607,3214.0000000000005
2026-09-03 23:00:00+00:00,1492.2,1845.9,2.5,152.8,183.2,0.0,517.1,0.2,1.8,25.0,23.8,13.7,115.3,0.0,4410.8,4295.4,6.9,10.5,186.8,0.412,-0.869,-0.436,-0.168,2.387,-0.364,0.544,1.505,3011.0
2026-09-03 23:15:00+00:00,1494.7,1844.8,2.5,152.6,187.0,0.0,515.4,0.2,1.8,22.8,23.7,14.0,121.3,0.2,4381.0,4259.5,7.1,10.7,169.42,0.384,-0.851,-0.445,-0.168,2.35,-0.363,0.544,1.451,2902.0
2026-09-03 23:30:00+00:00,1405.3,1845.5,2.5,152.5,186.9,0.0,517.2,0.2,1.8,34.7,23.9,14.2,126.1,0.2,4327.8,4201.5,7.3,10.8,166.12,0.363,-0.83,-0.466,-0.168,2.294,-0.362,0.544,1.376,2751.0
2026-09-03 23:45:00+00:00,1426.6,1846.4,2.5,152.6,186.6,0.0,517.7,0.2,1.8,25.5,23.9,15.0,116.4,0.1,4275.8,4159.3,7.1,10.6,159.44,0.442,-0.887,-0.52,-0.168,2.357,-0.347,0.544,1.421,2842.0000000000005
2026-09-04 00:00:00+00:00,1375.1,1846.5,2.5,152.7,180.0,0.0,496.1,0.2,1.8,21.8,23.6,14.0,104.6,0.2,4208.2,4103.5,7.0,10.3,172.82,0.483,-0.925,-0.576,-0.224,2.442,-0.329,0.47,1.34,2681.0
2026-09-04 00:15:00+00:00,1338.9,1848.5,2.5,153.0,179.6,0.0,493.8,0.2,1.8,21.4,23.6,13.9,86.3,0.2,4203.1,4116.7,6.5,9.7,163.74,0.503,-0.921,-0.577,-0.224,2.44,-0.333,0.47,1.358,2716.0
2026-09-04 00:30:00+00:00,1338.6,1848.9,2.5,153.5,180.9,0.0,496.3,0.2,1.8,50.0,23.7,14.1,65.8,0.3,4180.8,4114.7,6.1,9.0,167.93,0.472,-0.932,-0.581,-0.224,2.448,-0.349,0.47,1.305,2609.0
2026-09-04 00:45:00+00:00,1304.5,1849.2,2.5,153.1,181.3,0.0,497.9,0.2,1.8,44.3,23.3,14.2,60.7,0.5,4162.3,4101.1,6.0,8.8,166.82,0.515,-0.943,-0.621,-0.224,2.477,-0.321,0.47,1.353,2706.0
2026-09-04 01:00:00+00:00,1257.9,1849.6,2.5,153.2,180.4,0.0,508.9,0.2,1.8,49.6,23.4,13.7,59.8,0.1,4168.9,4109.0,5.9,8.7,180.31,0.512,-0.929,-0.616,-0.218,2.452,-0.319,0.439,1.321,2642.0000000000005
2026-09-04 01:15:00+00:00,1227.3,1849.6,2.5,153.1,180.2,0.0,506.7,0.2,1.8,44.4,23.6,14.0,45.2,0.4,4137.3,4091.8,5.7,8.3,180.28,0.507,-0.911,-0.614,-0.218,2.403,-0.316,0.439,1.29,2580.0
2026-09-04 01:30:00+00:00,1233.4,1849.9,2.5,153.6,181.8,0.0,499.7,0.2,1.8,34.6,23.5,13.5,31.9,0.1,4166.0,4134.0,5.3,7.9,172.08,0.515,-0.88,-0.614,-0.218,2.398,-0.291,0.439,1.349,2698.0000000000005
2026-09-04 01:45:00+00:00,1262.6,1850.2,2.5,153.5,186.2,0.0,501.5,0.2,1.8,50.9,23.6,14.4,30.6,0.2,4175.4,4144.7,5.3,7.8,172.43,0.501,-0.894,-0.611,-0.218,2.407,-0.303,0.439,1.322,2643.0000000000005
2026-09-04 02:00:00+00:00,1338.9,1850.4,2.5,153.5,184.5,0.0,511.1,0.2,1.8,70.5,23.3,14.0,27.1,2.4,4202.2,4172.7,5.2,7.7,171.07,0.484,-0.862,-0.608,-0.174,2.396,-0.3,0.432,1.369,2737.0
2026-09-04 02:15:00+00:00,1422.0,1850.9,2.5,153.5,184.0,0.0,507.9,0.2,1.8,58.2,23.3,14.0,25.1,0.9,4218.5,4192.5,5.1,7.6,175.25,0.473,-0.831,-0.607,-0.174,2.391,-0.284,0.432,1.4,2800.0
2026-09-04 02:30:00+00:00,1444.3,1850.9,2.5,153.7,188.2,0.0,513.2,0.2,1.8,51.2,23.1,14.4,20.0,0.3,4287.4,4267.1,4.9,7.4,180.11,0.452,-0.821,-0.57,-0.174,2.409,-0.293,0.432,1.435,2870.0
2026-09-04 02:45:00+00:00,1496.4,1850.3,2.5,153.7,188.3,0.0,515.9,0.2,1.8,66.4,23.2,14.5,18.4,1.5,4336.8,4316.9,4.8,7.4,186.3,0.478,-0.844,-0.579,-0.174,2.442,-0.3,0.432,1.455,2910.0
2026-09-04 03:00:00+00:00,1634.7,1851.3,2.5,154.0,187.7,0.0,509.3,0.2,1.8,42.9,22.9,14.5,20.8,0.1,4395.9,4374.9,4.8,7.5,185.49,0.477,-0.766,-0.512,-0.062,2.352,-0.298,0.655,1.846,3692.0
2026-09-04 03:15:00+00:00,1697.2,1850.4,2.5,153.8,186.9,0.0,506.5,0.2,1.8,45.0,22.6,14.1,21.3,1.9,4489.4,4466.1,4.7,7.5,191.39,0.49,-0.782,-0.831,-0.062,2.413,-0.283,0.655,1.601,3200.9999999999995
