temperature_mean_c,precipitation_total_mm,wind_speed_mean_ms,pressure_mean_hpa,cloud_cover_mean_pct,shortwave_total_wh_m2,et0_total_mm,water_balance_mm,baseline_year
19.8,16.099999999999998,4.5,1015.0,81.0,9305.555556300002,8.14,7.959999999999997,2016
16.433333333333334,7.1,4.3933333333333335,1014.5333333333334,74.66666666666667,10825.000000866,8.0,-0.9000000000000004,2017
20.166666666666668,21.5,2.566666666666667,1011.7333333333332,66.33333333333333,10650.000000852002,7.68,13.82,2018
19.133333333333333,0.0,4.6066666666666665,1017.4333333333334,23.0,15927.777779052003,13.080000000000002,-13.080000000000002,2019
20.333333333333332,0.0,3.4333333333333336,1019.2666666666668,13.333333333333334,15697.222223478,11.629999999999999,-11.629999999999999,2020
17.266666666666666,0.0,4.296666666666667,1020.9666666666666,31.666666666666668,15141.666667878,11.03,-11.03,2021
19.166666666666668,0.8,2.436666666666667,1021.6999999999999,55.333333333333336,12397.222223214001,8.78,-7.9799999999999995,2022
19.966666666666665,0.2,6.8566666666666665,1022.8666666666667,14.333333333333334,16172.222223516,13.719999999999999,-13.52,2023
24.46666666666667,0.0,6.716666666666666,1014.5333333333334,17.666666666666668,16080.555556842002,18.23,-18.23,2024
23.733333333333334,0.9,2.5433333333333334,1016.1333333333333,58.666666666666664,14086.111112238003,10.64,-9.74,2025
