time,latitude,longitude,height_km,event_type,peak_current_ka,location_error,distance_km
2026-09-04 12:18:06.538935500+00:00,48.5673,21.0209,0.0,1,3.2,0.326,123.67049443763447
2026-09-05 07:40:49.792373+00:00,48.4328,20.1492,0.0,1,-3.1,0.085,148.80672147859573
2026-09-05 07:40:49.793043400+00:00,48.4238,20.1348,0.0,1,3.6,0.141,148.9395285612481
2026-09-05 07:42:29.018545500+00:00,48.5021,20.6515,0.0,1,11.9,0.122,130.04890670334333
2026-09-05 07:42:29.038230100+00:00,48.4767,20.6158,0.0,1,-15.0,0.075,129.25317679937527
2026-09-05 07:43:26.435314900+00:00,48.4562,20.2206,0.0,1,-7.2,0.098,146.71670060257927
2026-09-05 07:43:26.657952100+00:00,48.4528,20.2154,0.0,1,-5.0,0.091,146.73130572040094
2026-09-05 08:09:27.878550900+00:00,47.7875,20.1934,3.6,2,15.8,0.06,111.09393086377783
2026-09-05 08:09:27.879048200+00:00,47.7706,20.1761,11.0,2,-9.6,0.093,111.90275308750618
2026-09-05 08:09:27.879656+00:00,47.7696,20.1928,0.0,1,-7.4,0.096,110.66242817666333
2026-09-05 08:09:27.880388800+00:00,47.7634,20.1909,0.0,1,-3.0,0.073,110.64421062396646
2026-09-05 08:09:27.881743400+00:00,47.7541,20.1941,0.0,1,-2.3,0.076,110.18363512143635
2026-09-05 08:09:27.954981100+00:00,47.7882,20.1928,0.0,1,-2.2,0.079,111.15662245297587
2026-09-05 08:09:28.046192300+00:00,47.8131,20.1261,0.0,1,2.4,0.065,116.67749874977365
2026-09-05 13:18:55.630844400+00:00,47.1932,22.709,0.0,1,12.9,0.254,89.74104506015823
2026-09-05 13:21:03.248503+00:00,47.1909,22.7463,0.0,1,-4.5,0.797,92.40521133764639
2026-09-05 13:21:03.693438900+00:00,47.1742,22.7752,0.0,1,-4.9,1.102,95.16762629342053
2026-09-05 13:23:11.588755900+00:00,47.3923,23.508,0.0,1,-7.7,0.622,142.22705150155923
2026-09-05 13:24:33.797811600+00:00,47.0555,22.4042,0.0,1,-10.0,0.304,78.96509460012112
2026-09-05 13:24:33.798120600+00:00,47.0561,22.4016,0.0,1,4.2,0.308,78.77467743088926
2026-09-05 13:24:57.905018800+00:00,47.4113,23.5343,0.0,1,-6.2,0.618,143.9550651761998
2026-09-05 13:24:57.961562800+00:00,47.4127,23.5347,0.0,1,-13.1,0.527,143.96872012538935
2026-09-05 13:24:57.985836800+00:00,47.4118,23.5247,0.0,1,-6.1,0.704,143.23083600312341
2026-09-05 13:28:12.455531400+00:00,47.1853,22.8317,0.0,1,5.2,0.125,98.55337183428574
2026-09-05 13:29:04.878131400+00:00,47.197,22.9533,0.0,1,-10.3,0.234,106.57282018345127
2026-09-05 13:32:14.692504300+00:00,47.2203,22.9758,0.0,1,-19.0,0.385,107.27759104223705
2026-09-05 13:32:14.692740900+00:00,47.2231,22.9559,0.0,1,20.9,0.506,105.75654408920964
2026-09-05 13:32:14.966717400+00:00,47.2176,22.9716,0.0,1,-4.1,0.443,107.07827213759278
2026-09-05 13:35:46.543259800+00:00,47.2289,23.036,0.0,1,25.7,0.395,111.27638669746088
2026-09-05 13:35:46.544025400+00:00,47.2284,23.0383,0.0,1,-5.4,0.595,111.45873712152935
2026-09-05 13:35:46.544554600+00:00,47.2286,23.0353,0.0,1,-4.9,0.212,111.23653942366919
2026-09-05 13:37:55.105069300+00:00,47.2287,23.1008,0.0,1,-5.2,0.528,115.94267444125421
2026-09-05 13:37:55.322473+00:00,47.2182,23.0192,0.0,1,-9.5,0.36,110.4511191040469
2026-09-05 13:37:55.675311200+00:00,47.2226,23.0126,0.0,1,-8.4,0.414,109.82148523225796
2026-09-05 13:42:35.213945500+00:00,47.2302,23.1839,0.0,1,-5.7,0.253,121.89541462194903
2026-09-05 13:42:35.215746400+00:00,47.2386,23.1667,0.0,1,-6.0,0.467,120.38591855632505
2026-09-05 13:42:35.287848400+00:00,47.2399,23.1962,0.0,1,-8.4,0.395,122.48558970153603
2026-09-05 13:42:35.289712800+00:00,47.2331,23.1775,0.0,1,-12.4,0.521,121.34053349794566
2026-09-05 13:51:29.291248500+00:00,47.2353,23.3189,0.0,1,-15.3,0.426,131.54812099776797
2026-09-05 13:51:29.309301600+00:00,47.2321,23.3008,0.0,1,-5.5,0.508,130.32351654804228
2026-09-05 13:55:03.483269600+00:00,47.2287,23.3586,0.0,1,7.2,0.344,134.6333160325303
2026-09-05 13:55:03.493824100+00:00,47.2399,23.3423,0.0,1,-17.4,0.421,133.12335900613476
2026-09-05 13:56:04.613343500+00:00,47.2567,23.3616,0.0,1,-7.4,0.469,134.07463022233034
2026-09-05 13:56:29.150591300+00:00,46.8308,22.3931,0.0,1,13.6,0.315,97.06648710642084
2026-09-05 13:56:29.335354600+00:00,46.8329,22.417,0.0,1,5.6,0.33,97.96814954066225
2026-09-05 14:06:45.518338300+00:00,47.1697,23.4724,0.0,1,-6.7,0.461,144.70549125408516
2026-09-05 14:08:10.499634100+00:00,46.8479,22.5426,0.0,1,-9.7,0.406,102.77686939359873
2026-09-05 14:08:10.500906700+00:00,46.8556,22.5296,0.0,1,-5.3,0.398,101.47932581223473
2026-09-05 14:08:10.502424800+00:00,46.8637,22.5519,0.0,1,-4.0,0.289,101.9573354167951
2026-09-05 14:09:59.517555200+00:00,47.0529,22.8542,0.0,1,-6.0,0.417,106.74741260355394
2026-09-05 14:10:12.940554300+00:00,46.8474,22.5534,5.9,2,-7.2,0.092,103.36892865830897
2026-09-05 14:12:24.310729400+00:00,47.0566,23.0537,0.0,1,-5.0,0.41,119.83826201299024
2026-09-05 14:12:41.197365300+00:00,46.8633,22.5551,0.0,1,-4.3,0.294,102.1556574803524
2026-09-05 14:14:22.366634700+00:00,46.867,22.5845,7.5,2,-8.7,0.122,103.3961798331698
2026-09-05 14:14:55.713955900+00:00,47.0675,23.085,0.0,1,28.9,0.464,121.43130203051511
2026-09-05 14:17:19.075478300+00:00,46.866,22.6452,0.0,1,9.0,0.277,106.73144270478083
2026-09-05 14:17:19.077095400+00:00,46.8762,22.6396,0.0,1,5.4,0.262,105.63614391146655
2026-09-05 14:19:15.642171400+00:00,47.0782,23.1655,0.0,1,-11.2,0.451,126.46245483490671
2026-09-05 14:19:15.642970+00:00,47.075,23.1641,0.0,1,-8.7,0.332,126.51123525247698
2026-09-05 14:19:15.643084100+00:00,47.0738,23.1673,0.0,1,-9.2,0.079,126.78698139111613
2026-09-05 14:42:28.750305700+00:00,46.8471,22.7546,11.3,2,-20.5,0.22,114.23293374372385
2026-09-05 14:42:28.750499100+00:00,46.8523,22.734,0.0,1,8.1,0.406,112.6855719159611
2026-09-05 14:42:28.751037100+00:00,46.8428,22.7482,0.0,1,-9.9,0.44,114.19544607318753
2026-09-05 14:42:28.770828500+00:00,46.8463,22.752,0.0,1,-7.6,0.292,114.14635016324794
2026-09-05 14:42:28.866605400+00:00,46.836,22.7449,0.0,1,3.9,0.554,114.52389161961175
2026-09-05 14:44:21.454135400+00:00,46.861,22.7505,0.0,1,-5.3,0.447,112.96776504066308
2026-09-05 14:47:57.534100300+00:00,46.8626,22.8019,0.0,1,17.2,0.41,115.7978965773258
2026-09-05 14:47:57.535189800+00:00,46.8647,22.7914,0.0,1,-9.8,0.387,115.03910273217583
2026-09-05 16:19:56.368547100+00:00,46.3503,21.6018,0.0,1,5.6,0.23,131.3688297814306
2026-09-05 16:19:56.369317100+00:00,46.3493,21.6045,0.0,1,-3.1,0.184,131.4771549147958
2026-09-05 16:19:56.372139500+00:00,46.3319,21.6201,0.0,1,-6.0,0.199,133.40167357794007
